Relative_Time_[ms],Voltage_out_[AU]
5905,678
5915,678
5925,678
5936,678
5946,678
5956,678
5967,678
5978,678
5988,678
5998,678
6008,678
6019,678
6029,678
6040,678
6050,678
6061,678
6071,678
6081,679
6091,678
6103,678
6113,678
6123,678
6133,678
6144,678
6154,678
6164,678
6175,678
6185,678
6196,678
6206,678
6216,678
6226,678
6238,677
6248,678
6258,678
6268,678
6279,678
6289,678
6300,678
6310,678
6321,678
6331,678
6341,678
6351,678
6362,678
6373,678
6383,678
6393,679
6404,678
6414,679
6424,678
6435,678
6446,678
6456,678
6466,678
6476,678
6487,678
6497,678
6508,678
6518,678
6529,678
6539,678
6549,678
6559,678
6571,678
6581,678
6591,678
6601,678
6611,678
6622,678
6633,678
6643,678
6653,678
6664,678
6674,678
6684,678
6694,678
6706,678
6716,678
6726,678
6736,678
6747,678
6757,678
6768,678
6778,678
6789,678
6799,678
6809,678
6819,678
6830,678
6841,678
6851,677
6861,678
6872,678
6882,678
6892,678
6903,678
6914,678
6924,678
6934,678
6944,678
6955,678
6966,678
6976,678
6986,678
6996,678
7007,678
7017,678
7027,678
7038,678
7049,678
7059,678
7069,678
7079,678
7090,678
7101,678
7111,678
7121,678
7132,678
7142,678
7152,678
7162,678
7174,678
7184,678
7194,678
7204,678
7215,678
7225,678
7236,678
7246,678
7257,678
7267,678
7277,678
7287,678
7299,678
7309,678
7319,678
7329,678
7340,678
7350,678
7360,678
7371,678
7382,678
7392,678
7402,678
7412,678
7422,678
7434,678
7444,678
7454,678
7464,678
7475,678
7485,678
7495,678
7506,678
7517,678
7527,678
7537,678
7547,678
7558,678
7569,678
7579,678
7589,678
7600,678
7610,678
7620,678
7631,678
7642,678
7652,678
7662,678
7672,678
7683,678
7693,678
7704,678
7714,678
7725,678
7735,678
7745,678
7755,678
7767,678
7777,678
7787,678
7797,678
7808,678
7818,678
7828,678
7839,678
7849,678
7860,678
7870,678
7880,678
7890,678
7902,678
7912,678
7922,678
7932,678
7943,678
7953,678
7964,678
7974,678
7985,678
7995,678
8005,678
8015,678
8026,678
8037,678
8047,678
8057,679
8068,678
8078,678
8088,678
8099,678
8110,678
8120,678
8130,678
8140,678
8151,678
8161,678
8172,678
8182,678
8193,678
8203,678
8213,678
8223,678
8235,678
8245,678
8255,678
8265,678
8275,678
8286,678
8297,678
8307,678
8317,678
8328,678
8338,678
8348,678
8358,678
8370,679
8380,678
8390,678
8400,678
8411,678
8421,678
8432,678
8442,678
8453,678
8463,678
8473,678
8483,678
8494,678
8505,678
8515,678
8525,678
8536,678
8546,678
8556,678
8567,678
8578,678
8588,678
8598,678
8608,678
8619,678
8630,679
8640,678
8650,678
8660,678
8671,678
8681,678
8691,678
8702,678
8713,678
8723,678
8733,678
8743,678
8754,678
8765,678
8775,678
8785,678
8796,678
8806,678
8816,678
8826,678
8838,678
8848,678
8858,678
8868,678
8879,678
8889,678
8900,678
8910,678
8921,677
8931,678
8941,678
8951,678
8963,678
8973,678
8983,678
8993,678
9004,678
9014,678
9024,678
9035,678
9046,678
9056,678
9066,678
9076,678
9086,678
9098,678
9108,678
9118,678
9128,678
