Relative_Time_[ms],Potentiometer_Value_[AU]
0,0
200,0
401,0
602,0
802,0
1002,0
1203,0
1403,0
1604,277
1805,697
2007,1023
2207,1023
2408,1023
2609,1023
2809,1023
3010,1023
3211,1023
3411,1023
3612,1023
3814,1023
4015,1023
4215,1023
4416,1023
4617,1023
4817,1023
5018,1023
5219,1023
5420,1023
5621,1023
5822,1023
6023,1023
6223,1023
6424,1023
6625,1023
6825,1023
7026,1023
7228,1023
7429,1023
7629,1023
7830,1023
8031,1023
8231,1023
8432,1023
8633,1023
8834,1023
9035,1023
9236,1023
9437,1023
9637,1023
9838,1023
10039,1023
10240,1023
10440,1023
10642,1023
10843,1023
11043,1023
11244,1023
11445,1023
11645,1023
11846,1023
12048,1023
12249,1023
12449,1023
12650,1023
12851,1023
13051,1023
13253,1023
13454,1023
13655,1023
13855,1023
14056,1023
14257,1023
14458,1023
14659,1023
14860,1023
15060,1023
15261,1023
15462,1023
15663,1023
15864,1023
16065,1023
16266,1023
16466,1023
16667,1023
16868,1023
17070,1023
17270,1023
17471,1023
17672,1023
17872,1023
18073,1023
18274,1023
18476,1023
18676,1023
18877,1023
19078,1023
19278,1023
19479,1023
19681,1023
19881,1023
20082,1023
20283,1023
20484,1023
20684,1023
20885,1023
21087,1023
21287,1023
21488,1023
21689,1023
21890,1023
22090,1023
22292,1023
22493,1023
22693,1023
22894,1023
23095,1023
23296,1023
23496,1023
23698,1023
23899,1023
24099,1023
24300,1023
24501,1023
24701,1023
24903,1023
25104,1023
25305,1023
25505,1023
25706,1023
25907,1023
26108,1023
26309,1023
26510,1023
26711,1023
26911,1023
27112,1023
27313,1023
27514,1023
27715,1023
27916,1023
28116,1023
28317,1023
28518,1023
28720,1023
28920,1023
29121,1023
29322,1023
29522,1023
29723,1023
29924,1023
30126,1023
30326,1023
30527,1023
30728,1023
30928,1023
31129,1023
31331,1023
31532,1023
31732,1023
31933,1023
32134,1023
32334,1023
32536,1023
32737,1023
32937,1023
33138,1023
33339,1023
