Relative_Time_[ms],Thermistor_Value_[AU]
0,469
200,470
401,470
602,469
802,469
1002,470
1203,470
1403,470
1604,470
1805,470
2007,470
2207,470
2408,470
2609,471
2809,471
3010,471
3211,472
3411,472
3612,472
3814,473
4015,474
4215,474
4416,475
4617,475
4817,476
5018,476
5219,477
5420,478
5621,479
5822,479
6023,480
6223,481
6424,481
6625,482
6825,483
7026,484
7228,484
7429,485
7629,486
7830,487
8031,487
8231,488
8432,489
8633,490
8834,490
9035,492
9236,492
9437,493
9637,494
9838,495
10039,495
10240,496
10440,497
10642,497
10843,498
11043,499
11244,500
11445,500
11645,501
11846,502
12048,502
12249,503
12449,503
12650,504
12851,505
13051,505
13253,506
13454,507
13655,508
13855,508
14056,509
14257,510
14458,510
14659,511
14860,512
15060,512
15261,513
15462,513
15663,513
15864,514
16065,515
16266,515
16466,516
16667,516
16868,517
17070,517
17270,518
17471,518
17672,519
17872,519
18073,520
18274,520
18476,520
18676,521
18877,521
19078,522
19278,522
19479,523
19681,523
19881,523
20082,524
20283,525
20484,525
20684,526
20885,526
21087,527
21287,527
21488,528
21689,528
21890,529
22090,529
22292,530
22493,530
22693,531
22894,531
23095,532
23296,532
23496,533
23698,533
23899,534
24099,534
24300,535
24501,535
24701,536
24903,536
25104,537
25305,537
25505,538
25706,538
25907,539
26108,539
26309,540
26510,540
26711,541
26911,541
27112,542
27313,542
27514,543
27715,543
27916,544
28116,544
28317,545
28518,545
28720,546
28920,547
29121,547
29322,547
29522,548
29723,548
29924,549
30126,549
30326,549
30527,550
30728,551
30928,551
31129,552
31331,552
31532,553
31732,553
31933,553
32134,554
32334,554
32536,554
32737,555
32937,555
33138,555
33339,556
33540,556
33740,557
33942,557
34143,557
34343,558
34544,558
34745,558
34946,559
35147,559
35348,560
35549,560
35749,561
35950,561
36151,562
36353,562
36553,562
36754,563
36955,563
37155,564
37356,564
37557,564
37758,565
37959,565
38160,566
38361,566
38561,566
38762,566
38964,567
39164,567
39365,567
39566,567
39767,567
39967,567
40169,567
40370,568
40570,568
40771,568
40972,568
41172,568
41373,568
41575,568
41776,568
41976,568
42177,569
42378,568
42578,569
42780,569
42981,569
43182,569
43382,569
43583,569
43784,570
43984,570
44186,570
44387,570
44588,570
44788,570
44989,570
45190,570
45391,570
45592,571
45793,571
45993,571
46194,571
46395,571
46597,571
46797,571
46998,571
47199,571
47399,571
47600,571
47801,571
48003,571
48203,572
48404,571
48605,572
48805,572
49006,572
49208,572
49409,572
49609,572
49810,572
50011,572
50211,573
50413,573
50614,573
50814,573
51015,573
51216,573
51417,573
51617,573
51819,573
52020,573
52220,573
52421,574
52622,574
52823,574
53024,574
53225,574
53426,574
53626,574
53827,574
54028,574
54228,574
54430,575
54631,575
54832,575
55032,575
55233,575
55434,575
55635,575
55836,575
56037,575
56238,575
56438,575
56639,575
56841,576
57041,576
57242,576
57443,576
57644,576
57844,576
58046,576
58247,576
58447,576
58648,576
58849,576
59049,576
59250,577
59452,577
59653,577
59853,577
60054,577
60255,577
60455,577
60657,577
60858,577
61059,577
61259,577
61460,577
61661,577
61862,577
62063,578
62264,578
62465,578
62665,578
62866,578
63067,578
63268,578
63469,578
63670,578
63870,578
64071,579
64272,579
64474,579
64674,579
64875,579
65076,579
65276,579
65477,579
65679,579
65880,579
66080,579
66281,579
66482,579
66682,579
66883,579
67085,580
67286,580
67486,580
67687,580
67888,580
68088,580
68290,580
68491,580
68691,580
68892,580
69093,580
69294,580
69494,580
69696,580
69897,580
70097,580
70298,581
70499,580
70700,580
70901,581
71102,581
71303,581
71503,581
71704,581
71905,581
72107,581
72307,581
72508,581
72709,581
72909,581
73110,581
73311,581
73511,581
73712,580
73913,580
74114,580
74314,580
74516,579
74717,579
74917,578
75118,578
75319,577
75520,577
75720,576
75921,576
76122,575
76322,575
76523,575
76724,574
76924,573
77125,573
77326,572
77527,571
77727,571
77928,570
78129,570
78329,569
78530,568
78731,568
78931,567
79132,566
79333,566
79534,565
79734,564
79935,563
80136,562
80336,561
80537,561
80738,560
80939,559
81139,559
81340,558
81541,557
81742,557
81943,556
82144,555
82344,555
82545,554
82746,553
82947,553
83147,552
83348,551
83549,551
83749,550
83950,550
84151,549
84352,548
84552,548
84753,548
84954,547
85154,546
85355,546
85556,545
85756,545
85957,544
86158,544
86359,543
86559,542
86760,541
86961,541
87161,541
87362,540
87563,539
87763,539
87964,538
88165,538
88366,537
88566,536
88767,536
88968,535
89168,535
89370,534
89571,534
89772,534
89972,533
90173,532
90374,532
90574,531
90775,531
90976,530
91176,530
91377,529
91578,529
91779,528
91979,528
92180,527
92381,527
92581,526
92782,526
92983,526
93184,525
93384,525
93585,524
93786,524
93986,523
94187,523
94388,522
94588,522
94789,521
94990,521
95191,520
95391,520
95592,520
95793,519
95993,518
96194,518
96395,517
96596,517
96797,517
96998,516
97199,516
97399,515
97600,515
97801,514
98001,514
98202,513
98403,513
98604,513
98804,512
99005,512
99206,511
99406,511
99607,511
99808,510
100008,510
100209,509
100410,509
100611,508
100811,508
101012,507
101213,507
101413,506
101614,506
101816,505
102017,505
102217,504
102418,504
102619,503
102819,503
103020,502
103221,502
103421,502
103622,501
103823,501
104024,501
104224,500
104425,500
104627,500
104827,500
105028,499
105229,499
105430,499
105630,498
105831,498
106032,498
106232,498
106433,497
106634,497
106834,497
107035,497
107236,497
107437,496
107638,496
107839,496
108040,496
108240,496
108441,496
108642,495
108843,495
109043,495
109244,495
109445,495
109645,495
109846,494
110047,494
110247,494
110449,494
110650,494
110851,493
111051,493
111252,493
111453,493
111653,493
111854,493
112055,492
112256,492
112456,492
112657,491
112858,491
113058,491
113260,491
113461,491
113661,490
113862,490
114063,490
114264,490
114464,489
114665,489
114866,489
115066,489
115267,489
115468,488
115668,488
115869,488
116070,488
116272,487
116472,487
116673,487
116874,487
117074,486
117275,486
117476,486
