Relative_Time_[ms],Brightness_[AU]
0,100
5,100
10,100
15,100
21,100
26,100
31,100
37,101
43,101
48,101
54,101
59,101
64,101
70,102
75,102
80,102
87,102
92,102
97,102
103,102
108,103
113,103
120,103
131,103
140,103
149,103
158,104
167,104
177,104
186,104
196,104
205,104
215,104
224,104
233,104
242,104
251,104
262,104
271,104
280,104
289,104
299,104
308,104
317,104
327,104
336,104
346,104
355,104
364,104
373,103
382,103
393,103
402,103
411,103
420,102
430,102
439,102
448,102
458,101
467,101
477,101
486,101
495,100
504,100
514,100
524,100
533,99
541,99
549,99
558,98
566,98
574,98
582,98
591,98
600,97
608,97
616,97
624,97
632,96
641,96
649,96
658,96
666,96
674,96
683,95
691,95
699,95
707,95
715,95
724,95
733,95
741,95
749,95
757,95
765,95
774,95
782,95
791,95
799,95
807,95
816,95
824,95
832,95
840,95
848,95
858,95
866,95
874,95
882,95
890,95
899,96
907,96
915,96
924,96
932,96
941,97
949,97
957,97
965,97
973,97
982,98
991,98
999,98
1007,98
1016,99
1026,99
1035,99
1044,99
1054,100
1064,100
1075,100
1085,101
1095,101
1105,101
1116,102
1127,102
1137,102
1147,102
1158,103
1168,103
1178,103
1189,103
1200,103
1210,104
1220,104
1230,104
1241,104
1251,104
1262,104
1272,104
1283,104
1293,104
1303,104
1313,104
1325,104
1335,104
1345,104
1355,104
1366,104
1376,104
1387,104
1397,104
1408,104
1418,103
1428,103
1438,103
1448,103
1460,103
1470,102
1480,102
1490,102
1501,102
1511,101
1522,101
1532,101
1543,100
1553,100
1563,100
1573,99
1583,99
1593,99
1602,99
1611,98
1620,98
1630,98
1639,98
1648,97
1658,97
1668,97
1677,97
1686,96
1695,96
1704,96
1714,96
1724,96
1733,95
1742,95
1752,95
1761,95
1770,95
1779,95
1789,95
1799,95
1808,95
1817,95
1826,95
1836,95
1845,95
1855,95
1864,95
1873,95
1883,95
1892,95
1901,95
1910,95
1921,95
1930,95
1939,95
1948,96
1957,96
1967,96
1976,96
1986,96
1995,97
2004,97
2014,97
2023,97
2032,98
2041,98
2051,98
2061,98
2070,99
2079,99
2088,99
2098,100
2108,100
2119,100
2129,101
2140,101
2150,101
2160,101
2170,102
2181,102
2192,102
2202,103
2212,103
2223,103
2233,103
2243,103
2254,104
2265,104
2275,104
2285,104
2295,104
2306,104
2316,104
2327,104
2337,104
2348,104
2358,104
2368,104
2378,104
2390,104
2400,104
2410,104
2420,104
2430,104
2441,104
2452,104
2462,104
2472,103
2483,103
2493,103
2503,103
2513,102
2525,102
2535,102
2545,102
2555,101
2566,101
2576,101
2587,100
2597,100
2608,100
2618,99
2627,99
2636,99
2646,99
2656,98
2665,98
2674,98
2683,98
2693,97
2702,97
2711,97
2721,97
2731,96
2740,96
2749,96
2758,96
2767,96
2777,95
2787,95
2796,95
2805,95
2814,95
2824,95
2833,95
2842,95
2852,95
2862,95
2871,95
2880,95
2889,95
2898,95
2908,95
2917,95
2927,95
2936,95
2946,95
2955,95
2964,95
2973,95
2982,95
2993,96
3002,96
3011,96
3020,96
3030,96
3039,97
3048,97
3058,97
3067,97
3077,98
3086,98
3095,98
3104,98
3113,99
3124,99
3133,99
3142,100
3152,100
3163,100
3173,100
3183,101
3194,101
3205,101
3215,102
3225,102
3235,102
3246,102
3257,103
3267,103
3277,103
3288,103
3298,104
3308,104
3319,104
3330,104
3340,104
3350,104
3360,104
3371,104
3381,104
3392,104
3402,104
3412,104
3423,104
3433,104
3443,104
3454,104
3465,104
3475,104
3485,104
3495,104
3506,104
3517,103
3527,103
3537,103
3548,103
3558,102
3568,102
3578,102
3590,102
3600,101
3610,101
3620,101
3631,101
3641,100
3652,100
3662,100
3673,99
3682,99
3691,99
3700,98
3709,98
3720,98
3729,98
3738,97
3747,97
3757,97
3766,97
3775,96
3785,96
3794,96
3804,96
3813,96
3822,95
3831,95
3841,95
3851,95
3860,95
3869,95
3878,95
3888,95
3897,95
3906,95
3915,95
3926,95
3935,95
3944,95
3953,95
3962,95
3972,95
3981,95
3991,95
4000,95
4009,95
4019,95
4028,95
4037,96
4046,96
4057,96
4066,96
4075,96
4084,97
4093,97
4103,97
4112,97
4122,98
4131,98
4141,98
4150,98
4159,99
4168,99
4177,99
4188,99
4197,100
4207,100
4217,100
4228,101
4238,101
4249,101
4259,102
4270,102
4280,102
4290,102
4300,103
4311,103
4322,103
4332,103
4342,103
4353,104
4363,104
4373,104
4384,104
4395,104
4405,104
4415,104
4425,104
4435,104
4446,104
4457,104
4467,104
4477,104
4488,104
4498,104
4508,104
4519,104
4530,104
4540,104
4550,104
4560,103
4571,103
4582,103
4592,103
4602,103
4613,102
4623,102
4633,102
4643,102
4655,101
4665,101
4675,101
4685,100
4696,100
4706,100
4717,99
4726,99
4736,99
4745,99
4754,98
4763,98
4772,98
4783,97
4792,97
4801,97
4810,97
4819,97
4829,96
4838,96
4848,96
4857,96
4867,95
4876,95
4885,95
4894,95
4903,95
4913,95
4923,95
4932,95
4941,95
4951,95
4960,95
4969,95
4978,95
4988,95
4998,95
5007,95
5016,95
5025,95
5035,95
5044,95
5054,95
5063,95
5072,95
5082,96
5091,96
5100,96
5109,96
5120,96
5129,97
5138,97
5147,97
5156,97
5166,97
5175,98
5185,98
5194,98
5203,99
5213,99
5222,99
5231,99
5240,100
5252,100
5262,100
5272,101
5282,101
5293,101
5303,101
5313,102
5324,102
5335,102
5345,103
5355,103
5365,103
5376,103
5387,103
5397,104
5407,104
5417,104
5428,104
5438,104
5449,104
5459,104
5470,104
5480,104
5490,104
5500,104
5511,104
5522,104
5532,104
5542,104
5553,104
5563,104
5573,104
5584,104
5595,104
5605,104
5615,103
5625,103
5636,103
5647,103
5657,102
5667,102
5678,102
5688,102
5698,101
5708,101
5720,101
5730,100
5740,100
5750,100
5761,99
5770,99
5779,99
5789,99
5798,98
5808,98
5817,98
5826,98
5835,97
5844,97
5855,97
5864,97
5873,96
5882,96
5892,96
5901,96
5910,96
5920,95
5929,95
5939,95
5948,95
5957,95
5966,95
5976,95
5986,95
5995,95
6004,95
6013,95
6023,95
6032,95
6041,95
6051,95
6061,95
6070,95
6079,95
6088,95
6097,95
6107,95
6117,95
6126,95
6135,96
6145,96
6154,96
6163,96
6172,96
6182,97
6192,97
6201,97
6210,97
6219,98
6228,98
6238,98
6248,98
6257,99
6266,99
6276,99
6285,100
6295,100
6305,100
6317,100
6327,101
6337,101
6347,101
6358,102
6368,102
6378,102
6389,102
6400,103
6410,103
6420,103
6430,103
6440,104
6452,104
6462,104
6472,104
6482,104
6493,104
6503,104
6514,104
6524,104
6535,104
6545,105
6555,104
6565,104
6576,104
6587,104
6597,104
6607,104
6618,104
6628,104
6638,104
6649,104
6660,103
6670,103
6680,103
6690,103
