Relative_Time_[ms],Brightness_[AU]
0,652
5,663
11,677
16,685
21,681
27,685
32,691
38,689
44,687
50,691
55,693
60,690
66,691
71,692
77,694
82,691
88,691
94,695
99,694
105,690
110,693
116,698
121,693
131,696
140,695
149,696
158,698
167,693
178,697
187,692
196,694
205,696
215,695
224,700
233,694
243,697
252,695
262,693
271,697
280,693
289,698
299,697
309,696
318,698
327,693
336,697
346,693
355,696
364,698
374,696
384,700
393,693
402,696
411,694
420,693
430,698
440,694
449,698
458,696
467,695
477,697
486,691
495,696
505,693
515,696
524,697
533,694
542,698
551,691
561,694
571,693
580,693
589,698
599,693
608,697
617,693
626,693
636,694
646,690
655,696
664,692
673,695
683,696
692,693
702,696
711,689
720,693
730,693
739,693
748,697
757,692
768,695
777,692
786,691
795,694
804,691
814,696
823,692
832,695
842,695
851,691
861,694
870,689
879,694
888,694
898,694
908,697
917,692
926,695
935,691
945,692
954,696
963,693
973,698
983,693
992,695
1001,695
1011,696
1021,698
1032,698
1043,695
1053,693
1063,694
1074,694
1084,692
1094,693
1105,697
1116,699
1126,699
1136,696
1146,698
1157,697
1168,695
1178,692
1188,694
1199,697
1209,697
1219,697
1229,700
1241,700
1251,698
1261,695
1271,697
1282,696
1292,694
1303,694
1313,698
1324,700
1334,700
1344,698
1354,699
1364,698
1376,696
1386,694
1396,695
1406,697
1417,697
1427,697
1438,700
1448,701
1459,698
1469,695
1479,696
1489,696
1501,694
1511,692
1521,696
1531,699
1542,699
1552,697
1562,698
1573,697
1584,695
1594,692
1604,693
1614,694
1625,694
1636,694
1646,698
1656,699
1667,697
1677,694
1687,695
1697,694
1709,692
1719,690
1729,693
1739,696
1750,696
1760,695
1771,696
1781,696
1792,694
1802,691
1812,692
1822,693
1833,692
1844,692
1854,696
1864,698
1874,696
1885,693
1895,694
1906,694
1916,692
1927,689
1937,692
1947,695
1957,696
1969,695
1979,697
1989,697
1999,695
2010,692
2020,693
2030,693
2041,692
2052,692
2062,696
2072,699
2082,698
2093,695
2104,696
2114,696
2124,694
2135,691
2145,693
2155,696
2166,697
2177,696
2187,699
2197,699
2207,697
2217,694
2228,695
2239,696
2249,694
2259,694
2270,698
2280,700
2290,700
2301,697
2312,698
2322,698
2332,696
2342,693
2353,694
2363,697
2374,698
2384,697
2395,700
2405,701
2415,698
2425,695
2437,696
2447,696
2457,694
2467,693
2478,696
2488,700
2499,700
2509,697
2520,698
2530,698
2540,696
2550,693
2561,693
2572,695
2582,696
2592,695
2603,698
2613,699
2623,697
2634,694
2644,694
2655,695
2665,693
2675,690
2685,693
2696,696
2707,697
2717,695
2727,695
2738,696
2748,694
2758,691
2769,691
2780,692
2790,692
2800,692
2810,695
2821,698
2832,696
2842,692
2852,693
2863,694
2873,692
2883,689
2893,691
2905,694
2915,695
2925,694
2935,695
2946,695
2956,694
2967,690
2977,690
2988,691
2998,692
3008,692
3018,694
3028,697
3040,696
3050,693
3060,693
3070,694
3081,693
3091,690
3102,691
3112,695
3123,696
3133,695
3143,696
3153,697
3165,696
3175,693
3185,693
3195,694
3206,693
3216,693
3226,695
3237,699
3248,699
3258,696
3268,696
3278,696
3289,695
3300,692
3310,693
3320,696
3331,697
3341,697
3351,699
3361,699
3373,698
3383,695
3393,694
3403,696
3414,694
3424,693
3435,696
3445,699
3456,700
3466,697
3476,697
3486,697
3497,696
3508,693
3518,693
3528,696
3538,697
3549,696
3559,698
3570,700
3580,698
3591,695
3601,694
3611,695
3621,694
3633,692
3643,694
3653,697
3663,698
3674,697
3684,696
3694,696
3705,695
3716,692
3726,691
3736,693
3746,694
3757,694
3768,696
3778,699
3788,697
3799,694
3809,693
3819,694
3830,693
3841,690
3851,691
3861,695
3871,696
3881,696
3892,695
3903,696
3913,694
3923,691
3934,690
3944,692
3954,693
3965,693
3976,694
3986,698
3996,697
4006,694
4017,693
4027,694
4038,693
4048,690
4059,691
4069,695
4079,696
4089,696
4101,696
4111,697
4121,696
4131,693
4142,692
4152,693
4163,693
4173,694
4184,695
4194,699
4204,699
4214,696
4225,695
4236,696
4246,695
4256,692
4267,692
4277,696
4287,698
4298,697
4308,698
4319,699
4329,698
4339,695
4349,694
4360,695
4371,695
4381,695
4391,696
4402,699
4412,700
4422,698
4433,696
4444,697
4454,696
4464,694
4474,692
4485,696
4496,698
4506,697
4516,698
4527,700
4537,698
4547,696
4557,694
4569,695
4579,695
4589,694
4599,695
4610,698
4620,700
4631,698
4641,696
4652,697
4662,696
4672,693
4682,692
4692,694
4704,696
4714,696
4724,696
4734,698
4745,697
4755,694
4766,692
4776,694
4787,693
4797,691
4807,692
4817,696
4829,697
4839,696
4849,694
4859,695
4870,694
4880,692
4890,689
4901,691
4912,693
4922,693
4932,693
4942,697
4953,696
4964,693
4974,691
4984,693
4995,692
5005,690
5015,690
5025,693
5037,696
5047,696
5057,693
5067,695
5078,694
5088,692
5099,690
5109,691
5120,693
5130,693
5140,694
5150,697
5161,697
5172,695
5182,692
5192,694
5202,694
5213,692
5223,690
5234,694
5244,697
5255,697
5265,696
5275,697
5285,696
5297,694
5307,692
5317,693
5327,694
5338,695
5348,695
5358,699
5369,700
5380,698
5390,695
5400,696
5410,696
5421,694
5432,692
5442,696
5452,698
5463,698
5473,697
5483,699
5494,698
5505,696
5515,693
5525,694
5535,695
5545,695
5556,695
5567,698
5577,700
5587,698
5598,696
5608,697
5618,696
5629,694
5640,691
5650,694
5660,697
5670,697
5681,697
5691,699
5702,698
5712,696
5723,693
5733,694
5743,694
5753,693
5765,692
5775,696
5785,698
5795,697
5806,694
5816,695
5827,695
5837,693
5848,690
5858,692
5868,694
5878,694
5889,694
5900,696
5910,697
5920,694
5931,691
5941,692
5951,692
5962,691
5972,690
5983,694
5993,696
6003,696
6013,693
6024,694
6035,694
6045,692
6055,689
6066,691
6076,693
6086,693
6097,693
6108,696
6118,696
6128,694
6138,691
6149,692
6160,693
6170,691
6180,690
6191,693
6201,696
6211,696
6221,694
6233,695
6243,695
6253,693
6263,690
6274,691
6284,693
6295,694
6305,694
6316,697
6326,699
6336,696
6346,693
6356,694
6368,695
6378,693
6388,691
6398,694
6409,697
6419,698
6430,696
6440,697
6451,697
6461,696
6471,692
6481,693
6493,694
6503,695
6513,694
6523,698
6534,700
6544,698
6554,695
6565,696
6576,696
6586,694
6596,692
6606,694
6617,697
6628,698
6638,697
6648,698
6659,698
6669,696
6679,693
6689,694
6701,694
6711,694
6721,694
6731,696
6742,699
6752,698
6763,695
6773,695
6784,696
6794,694
6804,691
6814,693
6825,696
6836,696
6846,696
6856,697
6866,697
6877,695
6887,692
6898,692
6908,693
6919,692
6929,692
6939,694
6949,697
6961,697
6971,694
6981,693
6991,694
7002,693
7012,690
7022,690
7033,694
7044,694
7054,694
7064,696
7074,696
7085,695
7096,692
7106,692
7116,693
7127,692
7137,690
7147,693
7158,696
7169,697
7179,694
7189,694
7199,695
7209,693
7220,691
7231,690
7241,693
7251,695
7262,694
7272,696
7282,698
7293,696
7304,693
7314,693
7324,694
7334,693
7345,691
7355,694
7366,697
7376,698
7387,697
7397,696
7407,697
7417,696
7429,693
7439,692
7449,695
7459,696
7470,696
7480,698
7491,700
7501,699
7512,696
7522,695
7532,696
7542,695
7553,692
7564,694
7574,698
7584,699
7595,698
7605,697
7615,699
7626,697
7636,694
7647,693
7657,695
7667,696
7677,695
7688,697
7699,700
7709,699
7719,696
7730,695
7740,696
7750,695
7761,692
7772,693
7782,697
7792,698
7802,697
7813,697
7824,698
7834,696
7844,693
7855,692
7865,693
7875,694
7885,694
7897,695
7907,698
7917,698
7927,695
7938,693
7948,694
7959,694
7969,691
7980,690
7990,694
8000,695
8010,695
8020,695
8032,696
8042,695
8052,692
8062,691
8073,692
8083,691
8094,691
8104,692
8115,696
8125,697
8135,694
8145,693
