Relative_Time_[ms],RAB_Width_1_[AU],RAB_Width_5_[AU],RAB_Width_10_[AU]
534,668,675,675
552,662,676,675
570,665,676,675
587,669,676,675
605,663,676,675
623,666,676,675
641,668,676,675
658,661,676,674
675,662,676,674
694,667,676,674
711,661,676,675
729,665,676,675
747,669,676,675
764,662,676,675
782,664,676,674
799,667,676,674
818,660,676,675
835,662,676,675
852,667,676,675
870,663,676,675
888,664,676,675
906,668,675,675
923,663,675,675
942,663,675,676
959,667,675,676
976,661,675,677
994,665,675,677
1011,669,675,677
1031,668,675,677
1049,664,675,677
1068,662,675,677
1087,666,676,677
1105,669,675,678
1124,670,676,678
1142,667,676,678
1162,667,676,678
1180,665,676,678
1199,666,676,678
1218,670,676,678
1236,671,676,678
1255,669,676,679
1273,666,676,679
1293,664,677,678
1311,670,677,678
1330,673,677,678
1349,669,677,678
1368,666,677,678
1386,666,677,678
1404,669,677,678
1424,670,677,678
1442,670,677,677
1461,669,677,677
1480,667,677,677
1499,664,677,677
1517,666,678,677
1536,671,678,677
1555,670,678,676
1573,666,678,676
1592,663,678,676
1610,664,678,676
1630,668,677,676
1648,669,678,676
1667,666,678,676
1686,666,677,675
1704,664,677,675
1723,663,677,675
1741,666,677,675
1761,669,677,675
1779,667,677,675
1798,663,677,675
1817,660,677,675
1836,665,677,675
1854,669,677,675
1873,666,677,675
1892,664,676,675
1910,664,676,675
1929,664,676,675
1948,666,676,675
1967,668,676,675
1985,667,676,675
2003,666,676,676
2023,663,676,676
2041,663,676,676
2060,669,676,677
2079,671,676,676
2098,667,676,676
2116,665,676,677
2135,665,676,677
2154,669,676,678
2172,671,676,678
2191,670,676,678
2209,670,676,678
2229,668,676,678
2247,666,676,678
2266,669,676,678
2285,674,676,678
2304,672,676,679
2322,668,676,679
2340,666,676,679
2360,669,676,678
2378,673,677,678
2397,672,677,678
2416,669,677,678
2435,669,677,679
2453,667,677,679
2472,669,677,678
2491,671,677,678
2509,672,677,678
2528,670,677,678
2547,666,677,678
2566,665,677,678
2584,671,677,677
2603,673,677,677
2622,669,678,677
2640,666,678,676
2659,666,678,676
2678,667,678,676
2697,669,678,676
2715,669,678,676
2734,669,678,676
2753,667,677,675
2771,663,677,675
2790,665,677,675
2808,670,677,675
2828,670,677,675
2846,666,677,675
2865,663,677,675
2884,665,677,675
2903,669,677,674
2921,669,677,674
2940,666,677,675
2959,666,677,675
2977,664,677,675
2996,665,676,675
3015,668,676,675
3034,670,676,675
3052,668,676,675
3070,665,676,675
3090,663,676,676
3108,668,676,676
3127,672,676,676
3146,669,676,676
3165,667,676,676
3183,667,676,676
3202,667,676,677
3221,669,676,677
3239,672,676,677
3258,672,676,677
3277,670,675,677
3296,666,676,677
3314,667,676,678
3333,673,676,678
3352,675,676,678
3371,671,676,678
3389,668,676,678
3408,668,676,678
3427,672,676,678
3445,673,676,678
3464,671,676,678
3483,671,676,678
3502,669,676,678
3520,668,676,678
3539,671,677,678
3558,675,677,678
3576,672,677,678
3595,669,677,678
3614,666,677,678
3633,669,677,678
3651,672,677,677
3670,671,677,677
3689,668,677,677
3707,668,677,677
3726,666,677,677
3745,666,677,677
3764,669,677,676
3782,671,677,676
3801,668,677,676
3820,664,677,675
3838,662,677,675
3857,668,677,675
3876,671,677,675
3895,668,677,675
3913,665,677,675
3932,665,677,675
3951,667,677,674
3970,668,677,674
3988,668,677,674
4007,668,677,675
4026,666,677,675
4044,663,676,675
4063,666,676,675
4082,671,676,674
4101,670,676,674
4119,667,676,675
4137,665,676,675
4157,665,676,675
4175,671,676,675
4194,672,676,675
4213,669,676,675
4232,669,676,676
4250,667,676,676
4269,667,675,676
4288,670,675,677
4306,674,675,677
4325,672,675,677
4344,669,675,677
4363,666,675,677
4381,671,675,677
4400,675,675,678
4419,673,676,678
4438,670,676,678
4456,669,676,678
4475,670,676,678
4494,672,676,678
4512,673,676,678
4531,672,676,678
4550,670,676,679
4569,667,676,679
4587,668,676,678
4606,673,676,678
4625,674,677,678
4643,669,677,678
4662,665,677,678
4681,665,677,678
4700,668,677,678
4718,670,677,678
4738,668,677,678
4756,668,677,677
4774,666,677,677
4793,663,677,677
4812,666,677,677
