Relative_Time_[ms],RAB_Width_30_[AU],RAB_Width_35_[AU]
11,18,643
28,37,665
46,57,670
63,76,672
80,95,674
98,114,675
115,134,675
133,153,676
151,172,676
168,192,676
186,211,676
203,230,677
221,250,677
238,269,677
256,288,678
274,308,678
291,327,678
309,346,677
327,366,677
345,385,677
363,405,678
380,424,678
398,443,678
416,463,677
434,482,677
452,501,677
470,521,677
487,540,677
505,560,677
523,579,677
541,598,677
559,617,676
576,637,676
593,656,675
611,675,675
629,676,675
647,676,675
664,676,675
683,676,675
700,676,675
717,676,675
735,676,674
752,676,674
771,676,674
788,676,675
806,676,675
824,676,675
841,676,675
860,676,674
877,676,674
896,676,675
913,676,675
931,676,675
949,676,675
967,676,675
985,675,675
1002,675,675
1020,675,676
1038,675,676
1056,675,677
1074,675,677
1091,675,677
1110,675,677
1127,675,677
1144,675,677
1162,676,677
1180,675,678
1198,676,678
1215,676,678
1233,676,678
1251,676,678
1268,676,678
1287,676,678
1304,676,678
1321,676,679
1340,676,679
1357,677,678
1376,677,678
1393,677,678
1412,677,678
1430,677,678
1447,677,678
1466,677,678
1483,677,678
1501,677,677
1519,677,677
1537,677,677
1555,677,677
1572,678,677
1591,678,677
1608,678,676
1626,678,676
1644,678,676
1661,678,676
1679,677,676
1696,678,676
1715,678,676
1732,677,675
1750,677,675
1768,677,675
1785,677,675
1803,677,675
1821,677,675
1839,677,675
1856,677,675
1874,677,675
1892,677,675
1910,677,675
1929,676,675
1946,676,675
1965,676,675
1982,676,675
2000,676,675
2018,676,675
2035,676,676
2054,676,676
2071,676,676
2089,676,677
2108,676,676
2125,676,676
2143,676,677
2160,676,677
2179,676,678
2196,676,678
2213,676,678
2232,676,678
2249,676,678
2267,676,678
2285,676,678
2302,676,678
2320,676,679
2338,676,679
2356,676,679
2373,676,678
2392,677,678
2410,677,678
2427,677,678
2446,677,679
2463,677,679
2482,677,678
2499,677,678
2518,677,678
2535,677,678
2553,677,678
2571,677,678
2588,677,677
2607,677,677
2625,678,677
2642,678,676
2660,678,676
2678,678,676
2696,678,676
2713,678,676
2732,678,676
2749,677,675
2766,677,675
2784,677,675
2802,677,675
2820,677,675
2837,677,675
2855,677,675
2873,677,675
2891,677,674
2909,677,674
2927,677,675
2945,677,675
2963,677,675
2980,676,675
2999,676,675
3016,676,675
3035,676,675
3052,676,675
3070,676,676
3088,676,676
3105,676,676
3124,676,676
3142,676,676
3160,676,676
3177,676,677
3195,676,677
3213,676,677
3230,676,677
3249,675,677
3266,676,677
3283,676,678
3302,676,678
3319,676,678
3337,676,678
3355,676,678
3373,676,678
3390,676,678
3408,676,678
3426,676,678
3444,676,678
3462,676,678
3480,676,678
3497,677,678
3516,677,678
3533,677,678
3552,677,678
3569,677,678
3588,677,678
3605,677,677
3623,677,677
3641,677,677
3659,677,677
3677,677,677
3695,677,677
3713,677,676
3730,677,676
3748,677,676
3766,677,675
3783,677,675
3802,677,675
3819,677,675
3836,677,675
3855,677,675
3872,677,675
3890,677,674
3907,677,674
3926,677,674
3943,677,675
3961,677,675
3979,676,675
3997,676,675
4015,676,674
4033,676,674
4050,676,675
4069,676,675
4086,676,675
4105,676,675
4122,676,675
4141,676,675
4158,676,676
4176,676,676
4194,675,676
4212,675,677
4230,675,677
4247,675,677
4265,675,677
4283,675,677
4300,675,677
4319,675,678
4336,676,678
4354,676,678
4372,676,678
4389,676,678
4407,676,678
4425,676,678
4443,676,678
4461,676,679
4478,676,679
4497,676,678
4514,676,678
4533,677,678
4550,677,678
4569,677,678
4586,677,678
4604,677,678
4622,677,678
4640,677,678
4658,677,677
4676,677,677
4694,677,677
4712,677,677
4729,677,677
4748,677,677
4765,677,676
4783,678,676
4801,677,676
4818,677,676
4836,677,676
4854,677,676
4872,677,675
4889,677,675
4908,677,675
4925,677,675
4942,677,675
4961,677,675
4978,677,675
4997,677,675
5014,677,675
5032,677,675
5050,677,675
5068,676,675
5086,676,675
5104,676,676
5122,676,675
5140,676,675
5157,676,676
5176,676,676
5193,676,676
5212,676,676
5229,676,677
5248,676,676
5265,676,677
5283,676,677
5301,676,678
5318,676,678
5337,676,678
5354,676,678
5372,676,678
5390,676,678
5407,676,678
5426,676,679
5443,676,679
5460,676,679
5479,677,679
5496,677,679
5514,677,679
5532,677,679
5550,677,679
5568,677,679
5586,677,679
5604,677,679
5622,677,678
5640,678,678
5658,678,679
5676,678,678
5693,678,679
5711,678,678
5729,678,678
5747,678,677
5765,678,677
5783,678,677
5800,678,677
5818,678,677
5836,678,677
5854,678,676
5871,678,676
5890,678,676
5907,678,676
5924,678,676
5943,678,676
5960,678,675
5978,678,675
5996,678,675
6013,678,675
6031,677,675
6049,677,675
6068,677,675
6085,677,675
6104,677,675
6121,677,675
6139,677,675
6157,677,675
6175,677,676
6193,677,676
6211,676,676
6228,676,676
6247,676,676
6264,676,676
6283,676,677
6300,676,677
6319,676,677
6336,676,677
6353,676,677
6371,676,678
