Relative_Time_[ms],Brightness_[AU]
0,100
5,100
11,100
16,100
21,100
27,100
32,100
38,100
44,100
50,100
55,100
60,100
66,100
71,100
77,100
82,100
88,101
94,101
99,101
105,101
110,101
116,101
121,101
131,101
140,101
149,101
158,101
167,101
178,101
187,101
196,101
205,101
215,101
224,101
233,101
243,101
252,101
262,102
271,101
280,101
289,101
299,101
309,101
318,101
327,101
336,101
346,101
355,101
364,101
374,101
384,101
393,101
402,101
411,101
420,101
430,101
440,100
449,100
458,100
467,100
477,100
486,100
495,100
505,100
515,100
524,99
532,99
540,99
548,99
557,99
565,99
574,99
582,99
590,99
599,99
607,99
615,98
623,98
631,98
641,98
649,98
657,98
665,98
673,98
681,98
690,98
698,98
707,98
715,98
723,98
732,98
740,98
748,98
756,98
764,98
774,98
782,98
790,98
798,98
806,98
815,98
823,98
831,98
840,98
848,98
857,98
865,98
873,98
881,98
889,98
898,98
907,98
915,98
923,98
931,98
940,98
948,98
956,98
964,99
973,99
982,99
990,99
998,99
1006,99
1015,99
1025,99
1035,99
1044,99
1053,100
1063,100
1074,100
1084,100
1094,100
1105,100
1116,100
1126,100
1136,101
1146,101
1157,101
1168,101
1178,101
1188,101
1199,101
1209,101
1219,101
1229,101
1241,101
1251,101
1261,101
1271,101
1282,101
1292,101
1303,101
1313,101
1324,101
1334,101
1344,101
1354,101
1364,101
1376,101
1386,101
1396,101
1406,101
1417,101
1427,101
1438,101
1448,101
1459,101
1469,101
1479,101
1489,100
1501,100
1511,100
1521,100
1531,100
1542,100
1552,100
1562,100
1573,99
1583,99
1592,99
1601,99
1610,99
1619,99
1629,99
1639,99
1648,99
1657,99
1667,98
1676,98
1685,98
1694,98
1704,98
1714,98
1723,98
1732,98
1741,98
1751,98
1760,98
1770,98
1779,98
1788,98
1798,98
1807,98
1816,98
1825,98
1836,98
1845,98
1854,98
1863,98
1872,98
1882,98
1891,98
1901,98
1910,98
1920,98
1929,98
1938,98
1947,98
1956,98
1967,98
1976,98
1985,98
1994,98
2003,98
2013,99
2022,99
2032,99
2041,99
2051,99
2060,99
2069,99
2078,99
2087,99
2097,100
2108,100
2118,100
2128,100
2139,100
2149,100
2159,100
2170,100
2181,100
2191,101
2201,101
2211,101
2222,101
2233,101
2243,101
2253,101
2264,101
2274,101
2284,101
2294,101
2306,101
2316,101
2326,101
2336,101
2347,101
2357,101
2368,101
2378,101
2388,101
2399,101
2409,101
2419,101
2429,101
2441,101
2451,101
2461,101
2471,101
2482,101
2492,101
2503,101
2513,101
2524,101
2534,100
2544,100
2554,100
2566,100
2576,100
2586,100
2596,100
2607,100
2617,100
2627,99
2637,99
2647,99
2656,99
2665,99
2674,99
2683,99
2693,99
2703,99
2712,98
2721,98
2731,98
2740,98
2749,98
2758,98
2768,98
2778,98
2787,98
2796,98
2805,98
2814,98
2824,98
2834,98
2843,98
2852,98
2862,98
2871,98
2880,98
2889,98
2899,98
2909,98
2918,98
2927,98
2936,98
2946,98
2955,98
2965,98
2974,98
2983,98
2993,98
3002,98
3011,98
3020,98
3031,98
3040,98
3049,98
3058,99
3067,99
3077,99
3086,99
3095,99
3105,99
3115,99
3124,99
3133,99
3142,100
3152,100
3164,100
3174,100
3184,100
3194,100
3205,100
3215,100
3225,100
3236,101
3247,101
3257,101
3267,101
3277,101
3288,101
3299,101
3309,101
3319,101
3330,101
3340,101
3350,101
3360,101
3372,101
3382,101
3392,101
3402,101
3412,101
3423,101
3434,101
3444,101
3454,101
3465,101
3475,101
3485,101
3496,101
3507,101
3517,101
3527,101
3537,101
3548,101
3558,101
3569,101
3579,100
3590,100
3600,100
3610,100
3620,100
3632,100
3642,100
3652,100
3662,100
3673,99
3682,99
3691,99
3701,99
3710,99
3720,99
3729,99
3738,99
3747,99
3757,98
3767,98
3776,98
3785,98
3794,98
3804,98
3813,98
3822,98
3832,98
3842,98
3851,98
3860,98
3869,98
3878,98
3888,98
3898,98
3907,98
3916,98
3926,98
3935,98
3944,98
3953,98
3963,98
3973,98
3982,98
3991,98
4000,98
4009,98
4019,98
4029,98
4038,98
4047,98
4057,98
4066,98
4075,98
4084,98
4093,98
4104,99
4113,99
4122,99
4131,99
4141,99
4150,99
4159,99
4169,99
4178,99
4188,99
4197,100
4207,100
4217,100
4228,100
4239,100
4249,100
4259,100
4270,100
4280,101
4290,101
4301,101
4312,101
4322,101
4332,101
4342,101
4353,101
4364,101
4374,101
4384,101
4395,101
4405,101
4415,101
4425,101
4436,101
4447,101
4457,101
4467,101
4477,101
4488,101
4499,101
4509,101
4519,101
4530,101
4540,101
4550,101
4561,101
4572,101
4582,101
4592,101
4602,101
4613,101
4623,101
4634,100
4644,100
4655,100
4665,100
4675,100
4685,100
4697,100
4707,100
4717,99
4726,99
4736,99
4745,99
4754,99
4764,99
4773,99
4783,99
4792,99
4801,98
4810,98
4819,98
4830,98
4839,98
4848,98
4857,98
4867,98
4876,98
4885,98
4895,98
4904,98
4914,98
4923,98
4932,98
4941,98
4951,98
4961,98
4970,98
4979,98
4988,98
4998,98
5007,98
5016,98
5025,98
5036,98
5045,98
5054,98
5063,98
5072,98
5082,98
5091,98
5101,98
5110,98
5120,98
5129,98
5138,98
5147,98
5156,99
5167,99
5176,99
5185,99
5194,99
5203,99
5213,99
5222,99
5232,99
5241,100
5252,100
5262,100
5272,100
5282,100
5293,100
5304,100
5314,100
5324,101
5335,101
5345,101
5355,101
5366,101
5377,101
5387,101
5397,101
5407,101
5417,101
5429,101
5439,101
5449,101
5459,101
5470,101
5480,101
5490,101
5501,101
5512,101
5522,101
5532,101
5542,101
5553,101
5564,101
5574,101
5584,101
5595,101
5605,101
5615,101
5626,101
5637,101
5647,101
5657,101
5667,101
5678,100
5688,100
5699,100
5709,100
5720,100
5730,100
5740,100
5750,100
5762,99
5771,99
5780,99
5789,99
5798,99
5808,99
5817,99
5827,99
5836,99
5846,99
5855,98
5864,98
5873,98
5882,98
5893,98
5902,98
5911,98
5920,98
5929,98
5939,98
5948,98
5957,98
5967,98
5977,98
5986,98
5995,98
6004,98
6013,98
6023,98
6033,98
6042,98
6051,98
6061,98
6070,98
6079,98
6088,98
6098,98
6108,98
6117,98
6126,98
6135,98
6145,98
6154,98
6164,98
6173,98
6182,98
6192,98
6201,99
6210,99
6219,99
6230,99
6239,99
6248,99
6257,99
6266,99
6276,99
6285,100
6296,100
6306,100
6317,100
6327,100
6337,100
6347,100
6358,100
6369,100
6379,101
6389,101
6400,101
6410,101
6420,101
6431,101
6441,101
6452,101
6462,101
6472,101
6482,101
6494,101
6504,101
6514,101
6524,101
6535,101
6545,102
6555,101
6566,101
6577,101
6587,101
6597,101
6607,101
6618,101
6629,101
6639,101
6649,101
6660,101
6670,101
6680,101
6691,101
