Relative_Time_[ms],Brightness_[AU]
0,538
5,565
11,588
16,604
21,605
27,609
32,620
38,621
44,617
50,625
55,632
60,626
66,628
71,634
77,634
82,631
88,635
94,640
99,638
105,636
110,640
116,646
121,641
131,648
140,645
149,646
158,650
167,644
178,654
187,650
196,653
205,655
215,652
224,658
233,652
243,657
252,655
262,654
271,659
280,654
289,660
299,656
309,656
318,658
327,652
336,660
346,654
355,656
364,656
374,651
384,657
393,649
402,653
411,651
420,648
430,653
440,644
449,649
458,644
467,643
477,644
486,637
495,643
505,635
515,638
524,637
533,630
542,635
551,624
561,628
571,626
580,623
589,628
599,617
608,621
617,614
626,613
636,617
646,609
655,613
664,605
673,607
683,607
692,601
702,604
711,597
720,601
730,599
739,597
748,600
757,593
768,595
777,591
786,593
795,598
804,592
814,596
823,591
832,594
842,595
851,591
861,597
870,593
879,598
888,598
898,598
908,604
917,597
926,603
935,601
945,604
954,611
963,606
973,613
983,608
992,613
1001,616
1011,622
1021,624
1032,624
1043,623
1053,624
1063,625
1074,625
1084,627
1094,632
1105,637
1116,640
1126,642
1136,644
1146,644
1157,643
1168,642
1178,643
1188,646
1199,648
1209,650
1219,654
1229,657
1241,658
1251,655
1261,656
1271,655
1282,653
1292,654
1303,656
1313,658
1324,659
1334,660
1344,662
1354,661
1364,658
1376,655
1386,653
1396,654
1406,654
1417,654
1427,656
1438,657
1448,657
1459,653
1469,651
1479,648
1489,645
1501,641
1511,642
1521,644
1531,643
1542,642
1552,642
1562,639
1573,636
1584,631
1594,629
1604,626
1614,623
1625,623
1636,624
1646,626
1656,623
1667,617
1677,616
1687,613
1697,610
1709,606
1719,604
1729,604
1739,604
1750,606
1760,604
1771,602
1781,600
1792,596
1802,595
1812,594
1822,592
1833,590
1844,594
1854,599
1864,597
1874,594
1885,595
1895,595
1906,594
1916,593
1927,594
1937,594
1947,598
1957,602
1969,605
1979,606
1989,607
1999,606
2010,607
2020,608
2030,609
2041,608
2052,614
2062,621
2072,625
2082,625
2093,627
2104,628
2114,627
2124,626
2135,628
2145,631
2155,635
2166,638
2177,642
2187,646
2197,646
2207,645
2217,645
2228,645
2239,645
2249,646
2259,650
2270,653
2280,656
2290,656
2301,659
2312,658
2322,656
2332,654
2342,653
2353,655
2363,656
2374,657
2384,659
2395,661
2405,662
2415,659
2425,657
2437,655
2447,652
2457,651
2467,653
2478,654
2488,655
2499,655
2509,655
2520,652
2530,649
2540,645
2550,642
2561,640
2572,640
2582,639
2592,640
2603,641
2613,640
2623,635
2634,632
2644,630
2655,626
2665,621
2675,619
2685,621
2696,621
2707,621
2717,619
2727,617
2738,613
2748,609
2758,606
2769,604
2780,602
2790,599
2800,601
2810,604
2821,602
2832,598
2842,597
2852,596
2863,594
2873,591
2883,590
2893,591
2905,593
2915,596
2925,596
2935,596
2946,595
2956,594
2967,594
2977,595
2988,595
2998,594
3008,599
3018,605
3028,608
3040,607
3050,608
3060,610
3070,609
3081,609
3091,610
3102,613
3112,618
3123,622
3133,626
3143,629
3153,629
3165,629
3175,629
3185,631
3195,631
3206,632
3216,637
3226,641
3237,645
3248,647
3258,648
3268,649
3278,648
3289,646
3300,647
3310,650
3320,653
3331,654
3341,657
3351,660
3361,661
3373,658
3383,657
3393,657
3403,655
3414,655
3424,657
3435,660
3445,661
3456,661
3466,662
3476,661
3486,658
3497,655
3508,653
3518,653
3528,655
3538,654
3549,654
3559,657
3570,657
3580,652
3591,649
3601,647
3611,644
3621,640
3633,639
3643,641
3653,642
3663,640
3674,639
3684,636
3694,633
3705,629
3716,625
3726,623
3736,621
3746,620
3757,621
3768,623
3778,621
3788,616
3799,612
3809,611
3819,609
3830,605
3841,602
3851,602
3861,605
3871,605
3881,603
3892,602
3903,601
3913,597
3923,596
3934,596
3944,595
3954,593
3965,596
3976,602
3986,602
3996,600
4006,600
4017,600
4027,601
4038,599
4048,599
4059,601
4069,606
4079,610
4089,612
4101,614
4111,615
4121,613
4131,614
4142,617
4152,617
4163,618
4173,622
4184,628
4194,633
4204,634
4214,633
4225,635
4236,636
4246,635
4256,634
4267,638
4277,643
4287,645
4298,648
4308,652
4319,653
4329,651
4339,650
4349,651
4360,650
4371,652
4381,654
4391,658
4402,660
4412,661
4422,662
4433,661
4444,660
4454,657
4464,655
4474,657
4485,659
4496,660
4506,661
4516,662
4527,663
4537,660
4547,657
4557,655
4569,654
4579,652
4589,652
4599,653
4610,654
4620,654
4631,653
4641,651
4652,648
4662,644
4672,640
4682,638
4692,638
4704,638
4714,637
4724,639
4734,638
4745,633
4755,629
4766,627
4776,624
4787,620
4797,616
4807,618
4817,619
4829,619
4839,616
4849,613
4859,611
4870,607
4880,604
4890,603
4901,601
4912,599
4922,600
4932,604
4942,602
4953,599
4964,597
4974,597
4984,596
4995,594
5005,592
5015,593
5025,597
5037,600
5047,599
5057,600
5067,601
5078,600
5088,599
5099,600
5109,602
5120,601
5130,604
5140,611
5150,615
5161,615
5172,614
5182,616
5192,618
5202,617
5213,617
5223,620
5234,625
5244,630
5255,633
5265,636
5275,637
5285,637
5297,635
5307,636
5317,637
5327,640
5338,642
5348,647
5358,651
5369,653
5380,653
5390,653
5400,653
5410,651
5421,649
5432,653
5442,656
5452,658
5463,659
5473,661
5483,664
5494,660
5505,658
5515,657
5525,656
5535,656
5545,657
5556,660
5567,661
5577,661
5587,661
5598,659
5608,657
5618,654
5629,650
5640,650
5650,651
5660,651
5670,651
5681,652
5691,653
5702,649
5712,644
5723,642
5733,639
5743,635
5753,633
5765,635
5775,637
5785,635
5795,632
5806,630
5816,628
5827,623
5837,619
5848,617
5858,615
5868,615
5878,614
5889,617
5900,614
5910,610
5920,606
5931,604
5941,603
5951,600
5962,597
5972,596
5983,601
5993,602
6003,598
6013,598
6024,598
6035,596
6045,593
6055,594
6066,594
6076,592
6086,595
6097,600
6108,602
6118,601
6128,599
6138,600
6149,601
6160,601
6170,600
6180,602
6191,608
6201,612
6211,615
6221,617
6233,618
6243,618
6253,617
6263,619
6274,620
6284,622
6295,626
6305,632
6316,636
6326,638
6336,637
6346,638
6356,638
6368,638
6378,637
6388,641
6398,645
6409,648
6419,650
6430,653
6440,654
6451,653
6461,651
6471,651
6481,651
6493,653
6503,654
6513,657
6523,660
6534,661
6544,660
6554,659
6565,659
6576,656
6586,653
6596,655
6606,657
6617,657
6628,657
6638,659
6648,660
6659,656
6669,652
6679,651
6689,649
6701,646
6711,646
6721,648
6731,649
6742,648
6752,646
6763,644
6773,642
6784,637
6794,633
6804,630
6814,630
6825,630
6836,630
6846,631
6856,629
6866,625
6877,620
6887,618
6898,615
6908,612
6919,608
6929,608
6939,611
6949,612
6961,607
6971,605
6981,603
6991,600
7002,597
7012,595
7022,594
7033,592
7044,594
7054,597
7064,596
7074,595
7085,593
7096,592
7106,592
7116,591
7127,589
7137,589
7147,595
7158,598
7169,598
7179,599
7189,600
7199,600
7209,599
7220,600
7231,601
7241,601
7251,606
7262,612
7272,617
7282,618
7293,617
7304,617
7314,619
7324,620
7334,619
7345,622
7355,627
7366,632
7376,635
7387,638
7397,639
7407,639
7417,638
7429,637
7439,639
7449,642
7459,644
7470,648
7480,652
7491,654
7501,653
7512,652
7522,653
7532,652
7542,649
7553,651
7564,655
7574,657
7584,658
7595,659
7605,661
7615,659
7626,656
7636,655
7647,653
7657,654
7667,655
7677,656
7688,657
7699,658
7709,657
7719,654
7730,652
7740,649
7750,646
7761,644
7772,645
7782,646
7792,645
7802,645
7813,646
7824,642
7834,637
7844,634
7855,632
7865,628
7875,625
7885,627
7897,628
7907,628
7917,625
7927,621
7938,619
7948,616
7959,612
7969,609
7980,607
7990,607
8000,607
8010,609
8020,606
8032,604
8042,600
8052,597
8062,596
8073,595
8083,592
8094,590
8104,595
8115,598
8125,595
8135,594
8145,593
8157,593
8167,591
8177,590
8187,591
8198,591
8208,594
8218,598
8229,601
8240,601
8250,601
8260,601
8270,602
8281,603
8292,603
8302,603
8312,610
8323,615
8333,618
8343,618
8353,620
8365,621
8375,620
8385,620
8395,623
8406,626
8416,629
8427,633
8437,638
8448,641
8458,640
8468,640
8478,640
8489,641
8500,639
8510,643
8520,646
8530,650
8541,651
8551,654
8562,655
8572,655
8583,652
8593,651
8603,651
8613,653
8625,655
8635,656
8645,659
8655,660
8666,660
8676,658
8686,656
8697,655
8708,652
8718,652
8728,654
8738,656
8749,655
8760,655
8770,657
8780,654
8791,650
8801,647
8811,645
8822,643
8833,643
8843,642
8853,644
8863,645
8873,642
8884,638
8895,636
8905,633
8915,629
8926,625
8936,624
8946,625
8957,625
8968,624
8978,623
8988,620
8998,616
9009,611
9019,610
9030,608
9040,604
9051,603
9061,605
9071,608
9081,603
9093,599
9103,599
9113,598
9123,594
9134,592
9144,591
9155,591
9165,593
9176,595
9186,595
9196,595
9206,593
9217,591
9228,592
9238,592
9248,591
9259,590
9269,596
9279,602
9290,603
9300,601
9311,603
9321,604
9331,603
9341,603
9352,605
9363,608
9373,611
9383,615
9394,621
9404,623
9414,622
9425,622
9436,624
9446,625
9456,624
9466,626
9477,632
9488,637
9498,639
9508,642
9519,643
9529,642
9539,642
9549,640
9561,641
9571,645
9581,648
9591,650
9602,653
9612,656
9623,656
9633,654
9644,653
9654,652
9664,651
9674,653
9684,655
9696,657
9706,658
9716,658
9726,660
9737,659
9747,656
9758,652
9768,651
9779,653
9789,653
9799,652
9809,655
9821,656
9831,655
9841,650
9851,648
9862,646
9872,643
9882,638
9893,640
9904,642
9914,641
9924,641
9934,640
9945,637
9956,633
9966,629
9976,626
9987,623
9997,621
10007,620
10018,620
10031,623
10042,612
10053,616
10064,611
10076,608
10088,611
10099,601
10110,605
10122,603
10133,598
10144,602
10157,593
10168,596
10179,598
10190,591
10202,595
10213,590
10225,591
10236,597
10248,590
10259,594
10270,591
10281,591
10294,599
10305,593
10316,597
10328,597
10339,597
10350,604
10362,600
10374,604
10385,607
10396,607
10407,613
10420,609
10431,614
10442,618
10454,617
10465,624
10476,621
10488,626
10500,629
10511,627
10522,635
10533,632
10545,636
10557,640
10568,637
10579,645
10591,642
10602,644
10613,649
10626,643
10637,652
10648,649
10659,649
10671,656
10682,650
10694,656
10705,655
10717,652
10728,660
10739,653
10752,656
10763,658
10774,651
10785,660
10797,654
10808,654
10820,657
10831,649
10843,657
10854,651
10865,650
10876,654
10889,644
10900,650
10911,647
10923,642
10934,647
10945,638
10957,640
10969,639
10980,634
10991,638
11002,628
11014,629
11026,629
11037,623
11048,625
11060,618
11071,618
11082,619
11095,612
11106,613
11117,607
11128,607
11140,608
11152,602
11163,602
11174,597
11186,599
11197,599
11208,593
11220,595
11232,592
11243,592
11254,594
11266,588
11277,592
11289,590
11300,589
11312,593
11323,587
11334,593
11345,596
11358,592
11369,598
11380,592
11392,598
11403,605
11414,598
11426,606
11438,603
11449,606
11460,614
11471,608
11484,615
11495,616
11506,616
11517,626
11529,618
11540,626
11552,629
11564,626
11575,636
11586,631
