Relative_Time_[ms],Running_Avg_Brightness_[AU]
0,55
5,113
11,173
16,234
22,297
28,360
33,422
39,485
45,549
51,613
56,621
62,627
67,631
73,634
78,636
84,638
91,640
96,642
102,643
107,644
113,645
118,647
124,648
131,649
140,649
149,650
159,652
168,653
178,654
187,655
196,656
205,658
215,658
225,660
234,660
243,662
252,662
262,663
271,664
280,664
290,664
300,664
309,665
318,665
327,665
336,666
346,665
356,665
365,665
374,664
384,664
393,664
402,664
411,663
421,662
431,662
440,660
449,660
458,659
467,658
477,657
487,656
496,655
505,653
515,652
524,650
533,649
542,648
552,646
562,645
571,643
580,641
589,640
599,638
608,637
618,635
627,634
636,632
646,630
655,628
664,626
673,625
683,623
693,622
702,621
711,619
720,618
730,616
739,614
748,613
758,612
768,611
777,610
786,610
795,609
804,608
814,607
824,606
833,606
842,606
851,606
861,606
870,606
879,606
889,606
899,607
908,608
917,608
926,609
935,611
945,611
955,613
964,613
973,614
983,616
992,618
1001,619
1011,621
1022,623
1033,624
1043,626
1053,627
1063,629
1074,630
1085,632
1095,635
1105,636
1116,638
1126,640
1136,642
1146,644
1158,645
1168,647
1178,649
1188,650
1199,652
1209,653
1220,655
1230,656
1241,657
1251,659
1261,660
1271,661
1282,662
1293,663
1303,663
1313,664
1324,664
1334,665
1344,666
1355,666
1366,666
1376,666
1386,666
1396,666
1406,666
1418,666
1428,665
1438,665
1448,664
1459,664
1469,663
1479,662
1490,661
1501,660
1511,659
1521,658
1531,657
1542,656
1553,655
1563,653
1573,652
1584,650
1594,649
1604,647
1614,645
1626,643
1636,642
1646,640
1656,638
1667,636
1677,634
1688,632
1698,630
1709,628
1719,627
1729,624
1739,622
1751,621
1761,619
1771,617
1781,616
1792,615
1802,614
1812,612
1823,611
1833,610
1844,609
1854,608
1864,607
1874,607
1886,607
1896,606
1906,606
1916,606
1927,607
1937,607
1948,607
1958,608
1969,609
1979,610
1989,611
1999,612
2010,613
2021,614
2031,616
2041,617
2052,619
2062,621
2072,622
2083,624
2094,626
2104,628
2114,630
2124,632
2135,634
2145,635
2156,637
2166,639
2177,641
2187,643
2197,644
2207,646
2219,648
2229,650
2239,651
2249,653
2259,654
2270,655
2280,656
2291,658
2301,659
2312,660
2322,661
2332,662
2342,663
2354,663
2364,664
2374,665
2384,665
2395,665
2405,666
2416,666
2426,666
2437,666
2447,666
2457,666
2467,665
2478,665
2489,664
2499,664
2509,664
2520,663
2530,662
2540,661
2551,660
2562,659
2572,658
2582,657
2592,655
2603,654
2613,652
2624,651
2634,650
2644,648
2655,646
2665,644
2675,643
2686,641
2697,639
2707,637
2717,635
2727,633
2738,632
2749,630
2759,628
2769,626
2780,624
2790,622
2800,621
2810,619
2822,617
2832,616
2842,614
2852,613
2863,612
2873,611
2884,610
2894,609
2905,608
2915,608
2925,607
2935,607
2947,606
2957,607
2967,607
2977,607
2988,607
2998,608
3008,608
3019,609
3030,610
3040,611
3050,613
3060,613
3070,615
3082,616
3092,618
3102,619
3112,621
3123,623
3133,625
3143,627
3154,628
3165,630
3175,632
3185,634
3195,636
3206,638
3217,640
3227,641
3237,643
3248,645
3258,647
3268,648
3278,650
3290,652
3300,653
3310,654
3320,656
3331,657
3341,658
3352,659
3362,660
3373,662
3383,663
3393,663
3403,664
3415,665
3425,665
3435,665
3445,666
3456,666
3466,666
3476,666
3487,666
3497,666
3508,666
3518,666
3528,665
