Relative_Time_[ms],RAB_Width_1_[AU],RAB_Width_5_[AU],RAB_Width_10_[AU]
3,568,114,563
13,606,235,601
22,625,359,616
32,627,486,625
41,627,611,630
52,634,623,634
61,639,629,635
71,638,634,637
80,640,635,641
94,643,639,643
110,648,643,646
128,645,645,648
145,652,646,651
163,657,650,653
181,656,652,656
198,659,654,658
216,662,657,660
234,658,659,661
251,660,658,661
269,663,659,661
287,660,660,661
305,662,660,661
322,666,661,661
339,661,662,662
358,660,661,661
375,662,661,660
393,655,661,658
410,654,658,656
429,658,657,654
446,651,656,652
463,651,654,651
482,654,652,649
499,643,651,646
517,641,647,643
534,643,644,640
552,632,642,636
570,633,638,633
587,635,635,630
605,625,634,628
623,626,630,625
641,627,628,623
658,615,626,620
675,614,621,616
694,615,618,613
711,608,616,610
729,609,613,608
746,612,611,607
764,605,610,607
782,606,609,606
799,607,607,606
818,600,607,605
835,603,605,604
852,608,604,604
870,604,605,605
888,609,606,607
906,615,607,610
923,609,610,613
941,614,611,615
959,620,612,617
976,614,615,619
994,622,616,621
1011,630,619,625
1031,632,622,629
1049,631,625,632
1068,631,627,635
1087,638,632,638
1105,645,636,642
1124,649,639,645
1142,647,642,647
1162,649,645,649
1180,651,648,653
1199,655,650,655
1218,658,652,656
1236,663,655,658
1255,662,657,661
1273,659,658,662
1293,658,659,662
1311,664,661,662
1330,667,662,663
1349,665,663,664
1368,660,663,662
1386,659,663,662
1404,662,662,662
1424,662,662,661
1442,662,661,658
1461,658,661,656
1480,654,659,656
1499,649,656,654
1517,648,654,650
1536,651,652,647
1555,649,651,646
1573,642,648,643
1592,635,644,639
1610,633,641,635
1630,634,638,633
1648,634,635,631
1667,626,632,626
1686,622,630,622
1704,619,626,620
1723,614,622,618
1741,614,619,614
1761,615,617,611
1779,612,614,610
1798,608,612,609
1817,603,609,606
1836,605,608,605
1854,610,607,606
1872,607,606,606
1892,604,606,605
1910,605,605,606
1929,607,606,608
1948,612,607,611
1967,613,608,611
1985,616,610,613
2003,618,613,617
2023,618,614,620
2041,618,616,622
2060,629,620,625
2079,634,624,629
2098,634,627,633
2116,633,629,635
2135,636,633,638
2154,643,636,643
2172,649,639,646
2191,651,643,648
2209,652,646,650
2229,652,649,653
2247,654,651,656
2266,657,653,657
2285,662,656,658
2304,665,658,661
2322,661,659,662
2340,658,660,662
2360,662,661,662
2378,666,662,664
2397,668,663,664
2416,662,663,663
2435,660,663,661
2453,660,663,662
2471,661,662,661
2491,660,661,659
2509,660,660,656
2528,656,659,656
2547,651,656,654
2566,645,654,650
2584,649,652,647
2603,651,650,646
2622,645,648,643
2640,637,645,639
2659,633,641,635
2677,630,638,633
2697,631,635,630
2715,628,632,626
2734,624,629,622
2753,620,626,620
2771,615,622,618
2790,611,619,614
2808,616,617,611
2828,613,615,610
2846,609,613,609
2865,604,610,607
2884,603,608,605
2903,609,608,606
2921,609,607,607
2940,606,606,606
2959,607,607,606
2977,608,606,608
2996,609,607,611
3015,614,609,612
3034,617,611,613
3052,620,614,617
3070,620,616,621
3090,619,617,623
3108,626,620,625
3127,636,624,629
3146,636,627,633
3165,635,630,636
3183,637,633,638
3202,641,636,642
3221,647,639,646
3239,651,642,648
3258,653,646,650
3277,654,649,653
3296,653,651,656
3314,655,652,657
3333,660,655,658
3352,665,658,660
3371,664,659,662
3389,659,660,662
3408,660,661,661
3427,664,662,663
3445,665,662,664
3464,665,662,662
3483,661,662,661
3502,659,662,661
3520,658,661,660
3539,658,659,658
3558,660,659,656
3576,658,658,655
3595,652,656,654
3614,645,653,650
3633,645,651,647
3651,648,649,644
3670,646,647,643
3689,638,644,639
3707,633,641,635
3726,630,637,632
3744,627,634,630
3764,628,631,625
3782,624,628,622
3801,621,626,619
3820,616,622,618
3838,609,618,614
3857,611,616,610
3876,614,614,609
3895,610,612,608
3913,605,609,606
3932,603,608,604
3951,604,607,605
3970,610,606,606
3988,606,605,605
4007,607,606,605
4026,609,607,607
4044,608,607,611
4063,611,608,612
4082,618,610,613
4101,621,613,616
4119,621,615,621
4137,620,617,623
4157,622,619,625
4175,633,623,629
4194,638,627,633
4213,637,630,636
4232,638,633,638
4250,641,636,642
4269,644,639,646
4288,649,642,648
4306,654,646,650
4325,656,649,652
4344,655,651,656
4363,653,653,657
4381,658,655,658
4400,663,657,660
4419,666,659,662
4438,662,660,663
4456,659,661,662
4475,662,662,663
4494,664,662,663
4512,665,662,663
4531,663,663,661
4550,661,662,661
4569,657,661,661
4587,656,660,658
4606,658,659,656
4625,660,658,655
4643,654,657,653
4662,648,654,650
4681,642,651,646
4700,645,649,644
4718,645,647,642
4737,640,644,639
4756,634,641,634
4774,631,638,632
4793,626,634,629
4812,625,630,625
4831,625,628,621
4849,622,625,619
4868,617,622,617
4887,610,618,614
4905,607,616,610
4924,613,614,608
4943,611,612,609
4962,606,609,606
4980,603,608,604
4999,604,607,605
5018,605,606,606
5037,608,605,606
5055,608,606,605
5074,609,607,607
5093,609,607,610
5111,607,607,612
5130,615,610,613
5149,622,613,617
5168,623,615,621
5186,622,618,623
5204,623,620,625
5224,630,624,629
5242,637,627,634
5261,640,630,636
5280,640,634,638
5299,642,637,642
5317,643,639,646
5336,648,642,649
5355,653,646,650
5373,658,649,653
5392,657,652,656
5411,654,653,658
5430,656,655,658
5448,662,657,660
5467,665,659,662
5486,665,661,662
5505,660,661,662
5523,660,662,662
5542,663,662,664
5561,664,662,663
5579,665,663,661
5598,663,663,661
5617,658,662,660
5636,654,660,658
5654,655,659,655
5673,658,658,654
5692,657,657,653
5710,649,654,651
5729,643,652,646
5748,643,649,644
5767,643,647,642
5785,642,644,638
5804,635,641,634
5823,632,638,631
5841,627,634,629
5860,621,630,625
5879,622,627,621
5898,623,624,618
5916,618,622,617
5935,612,619,614
5954,607,615,610
5972,608,613,608
5991,612,611,608
6010,607,609,606
6029,603,607,604
6047,604,606,604
6066,603,605,605
6085,607,604,606
6104,608,605,605
6122,610,606,607
6141,610,607,610
6160,609,607,612
6178,611,610,613
6197,620,613,616
6216,625,616,621
6235,624,618,624
6253,624,621,625
6273,627,623,629
6291,634,627,633
6309,640,630,637
6328,642,634,638
6347,644,638,642
6366,645,640,646
6384,645,642,648
6403,651,645,650
6422,657,648,652
6440,659,651,656
6459,656,653,658
6478,654,655,658
6497,660,657,659
6515,664,659,661
6534,665,660,663
6553,662,661,662
6572,661,662,662
6590,661,662,663
6609,662,662,663
6628,663,662,661
6646,664,662,660
6665,660,662,660
6684,654,660,658
6703,653,658,655
6721,655,657,653
6740,657,656,653
6759,652,654,650
6777,644,652,646
6796,641,649,643
6815,641,646,642
6834,639,643,638
6852,637,640,634
6872,633,638,631
6890,629,635,629
6908,622,630,626
6927,618,627,621
6946,623,625,618
6965,619,622,617
6983,613,619,614
7002,608,616,610
7021,607,613,608
7040,609,611,608
7058,609,609,607
7077,605,607,604
7096,606,607,604
7114,604,605,605
7134,603,605,606
7152,608,605,606
7171,611,607,607
7189,612,608,610
7208,611,608,613
7227,610,609,614
7245,618,612,616
7264,626,615,621
7283,626,618,624
7302,625,621,625
7320,629,624,629
7340,632,627,634
7358,638,630,637
7376,642,634,639
7395,646,638,642
7414,647,641,646
7433,645,643,649
7451,648,645,650
7471,656,649,653
7489,661,652,656
7507,659,654,658
7526,656,656,658
7545,658,658,660
7564,663,659,662
7582,664,660,663
7602,665,662,662
7620,663,662,662
7639,661,663,663
7657,661,662,663
7676,662,662,661
7695,665,662,660
7713,663,662,660
7733,657,660,659
7751,651,658,656
7770,654,657,654
7788,655,656,653
7808,653,654,650
7826,646,652,646
7844,642,649,643
7863,638,646,641
7882,636,643,639
7901,636,640,634
7919,634,638,630
7939,629,635,628
7957,623,631,626
7975,616,627,621
7994,619,624,618
8013,620,621,616
8032,614,618,614
8050,609,616,610
8070,608,613,608
8088,606,610,607
8107,609,608,607
8125,606,607,605
8144,606,606,604
8163,606,606,606
8181,603,605,606
8201,605,605,606
8219,613,607,607
8238,614,608,610
8256,612,609,613
8275,611,610,614
8294,615,612,616
8312,623,615,621
8332,628,618,624
8350,627,621,626
8369,629,624,629
8387,632,627,634
8407,635,629,637
8425,640,633,639
8443,648,637,642
8462,649,641,646
8481,648,643,649
8500,646,645,650
8518,654,648,652
8538,660,651,656
8556,661,654,658
8574,658,656,659
8593,658,658,660
8612,661,659,662
8631,663,660,663
8649,664,661,662
8669,665,662,662
8687,663,663,663
8706,659,662,663
8724,660,662,661
8743,663,662,660
8762,665,662,660
8780,659,661,659
8800,652,659,656
8818,650,657,653
8837,653,655,652
8855,652,653,650
8875,647,651,646
8893,643,649,643
8911,639,646,641
8930,634,642,638
8949,633,639,634
8968,635,637,630
8986,631,634,628
9006,624,631,625
9024,617,627,621
9042,615,624,617
9061,619,621,615
9080,616,618,614
9099,609,615,610
9117,608,613,607
9137,606,610,607
9155,604,608,606
9174,607,606,605
9192,607,606,604
9211,606,606,605
9230,604,605,606
9248,601,605,606
9268,610,606,607
9286,615,608,610
9305,614,609,613
9323,612,610,614
9342,616,612,616
9361,620,615,620
9379,627,618,625
9399,629,621,626
9417,631,624,629
9436,633,627,633
9454,634,630,638
9474,638,633,640
9492,646,637,642
9510,652,641,646
9529,650,644,650
9548,647,646,651
9567,651,648,653
9585,658,651,656
9605,661,653,658
9623,661,656,659
9641,659,657,660
9660,659,659,661
9679,662,659,663
9698,663,661,662
9716,666,662,662
9736,665,663,663
9754,660,663,663
9773,658,662,661
9791,661,662,660
9810,663,661,659
9829,661,660,659
9847,654,658,656
9867,651,657,653
9885,650,655,651
9904,650,653,650
9922,649,651,646
9942,645,649,642
9960,640,646,640
9978,635,642,638
9997,630,638,634
10016,632,636,630
10036,626,633,628
10055,623,629,624
10076,624,627,620
10095,615,624,619
10115,613,619,614
10135,616,617,612
10155,607,615,611
10174,607,612,606
10193,610,610,607
10214,603,609,605
10233,605,607,604
10253,607,606,606
10273,605,606,604
10293,606,605,606
10312,609,605,609
10333,613,607,609
10352,611,609,613
10372,614,609,614
10391,623,613,617
10412,618,616,622
10431,623,618,624
10450,634,621,627
10471,630,626,632
10490,634,628,634
10510,645,631,639
10529,640,636,642
10550,644,638,644
10569,653,641,648
10589,650,645,650
10609,652,648,653
10629,659,650,656
10648,659,654,657
10669,657,656,660
10688,661,657,661
10707,664,659,661
10727,660,661,663
10747,662,660,662
10767,667,662,663
10786,661,663,663
10807,661,662,662
10826,666,662,662
10846,658,662,660
10866,657,660,658
10886,662,659,658
10905,654,659,654
10925,652,656,652
10945,653,654,651
10964,648,653,647
10984,642,650,645
11004,641,646,641
11024,639,644,637
11043,632,641,635
11063,630,637,631
11083,632,634,627
11103,621,631,625
11122,620,626,620
11143,623,624,619
11162,610,621,615
11182,612,617,611
11202,614,615,611
11222,603,613,607
11241,607,610,606
11261,607,608,607
11281,606,608,604
11300,605,606,606
11320,606,605,606
11340,610,605,606
11360,607,606,609
11379,609,606,609
11400,618,608,612
11419,612,611,616
11439,618,612,617
11459,627,615,621
11479,621,619,625
11498,627,621,627
11517,636,625,632
11538,633,629,635
11557,639,631,638
11577,646,635,642
11596,644,639,644
11617,647,642,648
11636,653,644,651
11656,655,649,652
11676,653,651,656
11696,658,653,657
11715,662,656,659
11736,658,658,661
11755,662,659,661
11774,666,661,663
11795,660,662,663
11814,662,662,662
11834,667,662,664
11853,660,663,662
11874,660,662,661
11893,664,661,661
11913,658,662,658
11933,656,660,657
11953,657,658,656
11972,653,657,652
11992,648,655,651
