Relative_Time_[ms],RAB_Width_10_[AU]
3,563
13,601
22,616
32,625
41,630
52,634
61,635
71,637
80,641
94,643
110,646
128,648
145,651
163,653
181,656
198,658
216,660
234,661
251,661
269,661
287,661
305,661
322,661
339,662
358,661
375,660
393,658
410,656
429,654
446,652
463,651
482,649
499,646
517,643
534,640
552,636
570,633
587,630
605,628
623,625
641,623
658,620
675,616
694,613
711,610
729,608
746,607
764,607
782,606
799,606
818,605
835,604
852,604
870,605
888,607
906,610
923,613
941,615
959,617
976,619
994,621
1011,625
1031,629
1049,632
1068,635
1087,638
1105,642
1124,645
1142,647
1162,649
1180,653
1199,655
1218,656
1236,658
1255,661
1273,662
1293,662
1311,662
1330,663
1349,664
1368,662
1386,662
1404,662
1424,661
1442,658
1461,656
1480,656
1499,654
1517,650
1536,647
1555,646
1573,643
1592,639
1610,635
1630,633
1648,631
1667,626
1686,622
1704,620
1723,618
1741,614
1761,611
1779,610
1798,609
1817,606
1836,605
1854,606
1872,606
1892,605
1910,606
1929,608
1948,611
1967,611
1985,613
2003,617
2023,620
2041,622
2060,625
2079,629
2098,633
2116,635
2135,638
2154,643
2172,646
2191,648
2209,650
2229,653
2247,656
2266,657
2285,658
2304,661
2322,662
2340,662
2360,662
2378,664
2397,664
2416,663
2435,661
2453,662
2471,661
2491,659
2509,656
2528,656
2547,654
2566,650
2584,647
2603,646
2622,643
2640,639
2659,635
2677,633
2697,630
2715,626
2734,622
2753,620
2771,618
2790,614
2808,611
2828,610
2846,609
2865,607
2884,605
2903,606
2921,607
2940,606
2959,606
2977,608
2996,611
3015,612
3034,613
3052,617
3070,621
3090,623
3108,625
3127,629
3146,633
3165,636
3183,638
3202,642
3221,646
3239,648
3258,650
3277,653
3296,656
3314,657
3333,658
3352,660
3371,662
3389,662
3408,661
3427,663
3445,664
3464,662
3483,661
3502,661
3520,660
3539,658
3558,656
3576,655
3595,654
3614,650
3633,647
3651,644
3670,643
3689,639
3707,635
3726,632
3744,630
3764,625
3782,622
3801,619
3820,618
3838,614
3857,610
3876,609
3895,608
3913,606
3932,604
3951,605
3970,606
3988,605
4007,605
4026,607
4044,611
4063,612
4082,613
4101,616
4119,621
4137,623
4157,625
4175,629
4194,633
4213,636
4232,638
4250,642
4269,646
4288,648
4306,650
4325,652
4344,656
4363,657
4381,658
4400,660
4419,662
4438,663
4456,662
4475,663
4494,663
4512,663
4531,661
4550,661
4569,661
4587,658
4606,656
4625,655
4643,653
4662,650
4681,646
4700,644
4718,642
4737,639
4756,634
4774,632
4793,629
4812,625
4831,621
4849,619
4868,617
4887,614
4905,610
4924,608
4943,609
4962,606
4980,604
4999,605
5018,606
5037,606
5055,605
5074,607
5093,610
5111,612
5130,613
5149,617
5168,621
5186,623
5204,625
5224,629
5242,634
5261,636
5280,638
5299,642
5317,646
5336,649
5355,650
5373,653
5392,656
5411,658
5430,658
5448,660
5467,662
5486,662
5505,662
5523,662
5542,664
5561,663
5579,661
5598,661
5617,660
5636,658
5654,655
5673,654
5692,653
5710,651
5729,646
5748,644
5767,642
5785,638
5804,634
5823,631
5841,629
5860,625
5879,621
5898,618
5916,617
5935,614
5954,610
5972,608
5991,608
6010,606
6029,604
6047,604
6066,605
6085,606
6104,605
6122,607
6141,610
6160,612
6178,613
6197,616
6216,621
6235,624
6253,625
6273,629
6291,633
6309,637
6328,638
6347,642
6366,646
6384,648
6403,650
6422,652
6440,656
6459,658
6478,658
6497,659
6515,661
6534,663
6553,662
6572,662
6590,663
6609,663
6628,661
6646,660
6665,660
6684,658
6703,655
6721,653
6740,653
6759,650
6777,646
6796,643
6815,642
6834,638
6852,634
6872,631
6890,629
6908,626
6927,621
6946,618
6965,617
6983,614
7002,610
7021,608
7040,608
7058,607
7077,604
7096,604
7114,605
7134,606
7152,606
7171,607
7189,610
7208,613
7227,614
7245,616
7264,621
7283,624
7302,625
7320,629
7340,634
7358,637
7376,639
7395,642
7414,646
7433,649
7451,650
7471,653
7489,656
7507,658
7526,658
7545,660
7564,662
7582,663
7602,662
7620,662
7639,663
7657,663
7676,661
7695,660
7713,660
7733,659
7751,656
7770,654
7788,653
7808,650
7826,646
7844,643
7863,641
7882,639
7901,634
7919,630
7939,628
7957,626
7975,621
7994,618
8013,616
8032,614
8050,610
8070,608
8088,607
8107,607
8125,605
8144,604
8163,606
8181,606
8201,606
8219,607
8238,610
8256,613
8275,614
8294,616
8312,621
8332,624
8350,626
8369,629
8387,634
8407,637
8425,639
8443,642
8462,646
8481,649
8500,650
8518,652
8538,656
8556,658
8574,659
8593,660
8612,662
8631,663
8649,662
8669,662
8687,663
8706,663
8724,661
8743,660
8762,660
8780,659
8800,656
8818,653
8837,652
8855,650
8875,646
8893,643
8911,641
8930,638
8949,634
8968,630
8986,628
9006,625
9024,621
9042,617
9061,615
9080,614
9099,610
9117,607
9137,607
9155,606
9174,605
9192,604
9211,605
9230,606
9248,606
9268,607
9286,610
9305,613
9323,614
9342,616
9361,620
9379,625
9399,626
9417,629
9436,633
9454,638
9474,640
9492,642
9510,646
9529,650
9548,651
9567,653
9585,656
9605,658
9623,659
9641,660
9660,661
9679,663
9698,662
9716,662
9736,663
9754,663
9773,661
9791,660
9810,659
9829,659
9847,656
9867,653
9885,651
9904,650
9922,646
9942,642
9960,640
9978,638
9997,634
10016,630
10036,628
10055,624
10076,620
10095,619
10115,614
10135,612
10155,611
10174,606
10193,607
10214,605
10233,604
10253,606
10273,604
10293,606
10312,609
10333,609
10352,613
10372,614
10391,617
10412,622
10431,624
10450,627
10471,632
10490,634
10510,639
10529,642
10550,644
10569,648
10589,650
10609,653
10629,656
10648,657
10669,660
10688,661
10707,661
10727,663
10747,662
10767,663
10786,663
10807,662
10826,662
10846,660
10866,658
10886,658
10905,654
10925,652
10945,651
10964,647
10984,645
11004,641
11024,637
11043,635
11063,631
11083,627
11103,625
11122,620
11143,619
11162,615
11182,611
11202,611
11222,607
11241,606
11261,607
11281,604
11300,606
11320,606
11340,606
11360,609
11379,609
11400,612
11419,616
11439,617
11459,621
11479,625
11498,627
11517,632
11538,635
11557,638
11577,642
11596,644
11617,648
11636,651
11656,652
11676,656
11696,657
11715,659
11736,661
11755,661
11774,663
11795,663
11814,662
11834,664
11853,662
11874,661
11893,661
11913,658
11933,657
11953,656
11972,652
11992,651
