Relative_Time_[ms],RAB_Width_45_[AU]
349,660
359,660
368,660
377,661
387,661
396,661
405,662
414,662
424,662
434,662
443,662
452,662
461,662
471,662
480,662
490,662
499,662
508,662
518,663
527,663
536,663
545,663
556,663
565,663
574,663
583,663
592,662
602,662
611,662
621,662
630,663
640,662
649,662
658,662
667,662
676,662
687,662
696,662
705,662
714,662
723,662
733,662
742,662
752,661
761,661
771,661
780,661
789,661
798,661
807,661
818,661
827,661
836,661
845,661
855,661
864,661
873,660
883,660
892,660
902,660
911,660
920,660
929,660
939,660
948,660
958,660
967,660
976,660
986,660
995,660
1004,660
1014,660
1026,660
1036,660
1046,660
1056,660
1067,660
1077,660
1088,660
1098,660
1108,660
1119,660
1129,660
1139,660
1150,660
1161,661
1171,661
1181,661
1191,661
1202,661
1212,661
1223,661
1233,661
1244,661
1254,661
1264,661
1274,662
1286,662
1296,662
1306,662
1316,662
1327,662
1337,662
1347,662
1358,662
1369,662
1379,663
1389,663
1399,663
1410,663
1421,663
1431,663
1441,663
1452,663
1462,663
1472,663
1483,663
1494,663
1504,663
1514,663
1524,663
1534,663
1545,663
1556,663
1566,663
1576,663
1587,664
1597,663
1607,663
1618,663
1629,663
1639,663
1649,663
1659,663
1670,663
1680,663
1691,663
1701,663
1712,663
1722,663
1732,663
1742,662
1754,662
1764,662
1774,662
1784,662
1795,662
1805,662
1816,662
1826,662
1837,662
1847,661
1857,661
1867,661
1878,661
1889,661
1899,661
1909,661
1920,661
1930,661
1940,661
1951,661
1961,660
1972,660
1982,660
1992,660
2002,661
2013,661
2024,660
2034,660
2044,660
2055,660
2065,660
2075,660
2086,660
2097,660
2107,660
2117,660
2127,660
2138,660
2149,660
2159,660
2169,660
2180,660
2190,660
2200,660
2210,661
2222,661
2232,661
2242,661
2252,661
2263,661
2273,661
2284,661
2294,661
2305,661
2315,661
2325,662
2335,662
2345,662
2357,662
2367,662
2377,662
2387,662
2398,662
2408,662
2419,662
2429,663
2440,663
2450,663
2460,663
2470,663
2482,663
2492,663
2502,663
2512,663
2523,663
2533,663
2543,663
2554,663
2565,663
2575,663
2585,663
2595,663
2606,663
