Relative_Time_[ms],RAB_Width_35_[AU]
258,649
267,649
276,649
286,650
295,650
305,651
314,651
323,651
332,651
342,652
352,652
361,652
370,652
379,652
389,652
398,652
407,652
417,652
427,653
436,653
445,653
454,653
463,653
473,653
482,653
492,653
501,653
510,653
520,653
529,653
538,653
547,653
558,653
567,653
576,652
585,653
594,652
604,652
613,653
623,652
632,652
642,652
651,652
660,652
669,652
678,652
689,652
698,652
707,652
716,651
726,651
735,651
744,651
754,651
763,651
773,651
782,651
791,651
800,650
809,650
820,650
829,650
838,650
847,650
857,650
866,650
875,650
885,650
894,650
904,650
913,650
922,650
931,650
941,649
951,650
960,649
969,650
978,650
988,650
997,650
1006,650
1017,650
1028,650
1038,650
1048,650
1058,650
1069,650
1079,650
1090,650
1100,650
1111,650
1121,650
1131,650
1141,651
1153,651
1163,651
1173,651
1183,651
1193,651
1204,651
1214,651
1225,651
1235,651
1246,652
1256,652
1266,652
1276,652
1288,652
1298,653
1308,653
1318,653
1329,653
1339,653
1350,653
1360,653
1371,653
1381,653
1391,653
1401,653
1412,653
1423,653
1433,653
1443,653
1454,653
1464,654
1474,654
1485,654
1496,654
1506,654
1516,654
1526,654
1537,653
1547,653
1558,653
1568,653
1579,654
1589,654
1599,654
1609,654
1620,653
1631,653
1641,653
1651,653
1661,653
1672,653
1683,653
1693,653
1703,653
1714,653
1724,653
1734,652
1744,652
1756,652
1766,652
1776,652
1786,652
1797,652
1807,652
1818,652
1828,651
1839,651
1849,651
1859,651
1869,650
1880,650
1891,650
1901,651
1911,651
1922,651
1932,650
1942,650
1953,650
1964,650
1974,650
1984,650
1994,650
2004,650
2016,650
2026,650
2036,650
2046,650
2057,650
2067,649
2077,649
2088,650
2099,650
2109,650
2119,650
2129,650
2140,650
2151,650
2161,650
2171,650
2182,650
2192,650
2202,650
2212,651
2224,651
2234,651
2244,651
2254,651
2265,651
2275,651
2286,651
2296,651
2307,652
2317,652
2327,652
2337,652
2349,652
2359,652
2369,652
2379,652
2390,652
2400,652
2410,653
2421,653
2432,653
2442,653
2452,653
2462,653
2472,653
2484,653
2494,653
2504,653
2514,653
2525,653
2535,654
2545,654
2556,654
2567,654
2577,654
2587,653
2597,653
2608,653
2619,653
2629,653
2639,653
2650,653
2660,653
2670,653
2681,653
2692,653
2702,653
2712,653
2722,652
2733,652
2743,653
2754,653
2764,653
2775,652
2785,652
2795,652
2805,652
2817,651
2827,651
2837,651
2847,651
2857,651
2868,651
2878,651
2889,651
2899,651
2910,650
2920,650
2930,650
2940,650
2952,650
2962,650
2972,650
2982,650
2993,650
3003,650
3014,650
3024,649
3035,649
3045,650
3055,650
3065,650
3076,650
3087,650
3097,650
3107,650
3118,650
3128,649
3138,649
3149,649
3160,650
3170,650
3180,650
3190,650
3201,650
3211,650
3222,650
3232,650
3243,650
3253,650
3263,650
3273,651
3284,651
3295,651
3305,651
3315,651
3325,651
3336,651
3347,651
3357,651
3367,652
3378,652
3388,652
3398,652
3408,652
3420,653
3430,652
3440,652
3450,652
3461,653
3471,653
3482,653
3492,653
3503,653
3513,653
3523,653
3533,653
3544,653
3555,653
3565,653
3575,653
3586,653
3596,654
3606,654
3617,654
3628,654
3638,653
3648,653
3658,653
3668,653
3680,653
3690,653
3700,653
3710,653
3721,653
3731,653
3741,653
3752,653
3763,652
3773,652
3783,652
3793,652
3804,652
3815,652
3825,652
3835,652
3846,652
3856,651
3866,651
3876,651
3888,651
3898,651
3908,651
3918,651
3929,651
3939,651
3950,651
3960,650
3971,650
3981,650
3991,650
4001,650
4013,650
4023,650
4033,650
4043,650
4054,650
4064,650
4074,649
4085,649
4096,649
4106,649
4116,649
4126,650
4136,650
4148,650
4158,650
4168,650
4178,649
4189,649
4199,649
4209,649
4220,650
4231,650
4241,650
4251,650
4261,650
4272,650
4283,650
4293,650
4303,650
4314,650
4324,650
4334,651
4345,651
4356,651
4366,651
4376,651
4386,651
4397,651
4407,651
4418,651
4428,652
4439,652
4449,652
4459,653
4469,653
4481,653
4491,652
4501,652
4511,652
4521,652
4532,653
4542,653
4553,653
4563,653
4574,653
4584,653
4594,653
4604,653
4616,653
4626,653
4636,653
4646,653
4657,654
4667,654
4678,654
4688,653
4699,653
4709,653
4719,653
4729,653
4740,653
4751,653
4761,653
4771,653
4782,653
4792,653
4802,653
4813,652
4824,652
4834,652
4844,652
4854,652
4865,652
4875,652
4886,652
4896,652
4907,652
4917,651
4927,651
4937,651
4948,651
4959,651
4969,651
4979,651
4989,651
5000,651
5011,650
5021,650
5031,650
5042,650
5052,650
5062,650
5072,650
5084,650
5094,650
5104,650
5114,650
5125,649
5135,649
5146,649
5156,649
5167,649
5177,649
5187,649
5197,650
5208,650
5219,650
5229,649
5239,649
5250,649
5260,649
5270,649
5281,649
5292,650
5302,650
5312,650
5322,650
5332,650
5344,650
5354,650
5364,650
5374,650
5385,651
5395,651
5405,651
5416,651
5427,651
5437,651
5447,651
5457,651
5468,651
5479,651
5489,652
5499,652
5510,652
5520,652
5530,652
5540,652
5552,652
5562,652
5572,652
5582,652
5593,653
5603,653
5614,653
5624,653
5635,653
5645,653
5655,653
5665,653
5677,653
5687,653
5697,653
5707,653
5718,653
5728,653
5738,653
5749,653
5760,653
5770,653
5780,653
5790,653
5800,653
5812,653
5822,653
5832,653
5842,653
5853,653
5863,652
5873,652
5884,652
5895,652
5905,652
5915,652
5925,652
5936,652
5947,652
5957,652
5967,651
5978,651
5988,651
5998,651
6009,651
6020,651
6030,651
6040,651
6050,651
6061,651
6071,650
6082,650
6092,650
6103,650
6113,650
6123,650
6133,650
6145,650
6155,650
6165,650
6175,650
6185,649
6196,649
6206,649
6217,649
6227,649
6238,649
6248,650
6258,650
6268,650
6280,650
6290,650
6300,649
6310,649
6321,649
6331,649
6342,650
6352,650
6363,650
6373,650
6383,650
6393,650
6404,650
6415,650
6425,650
6435,650
6446,650
6456,651
6466,651
6477,651
6488,651
6498,651
6508,651
6518,651
6529,651
6539,652
6550,652
6560,652
6571,652
6581,653
6591,653
6601,653
6612,652
6623,652
6633,652
6643,652
6653,653
6664,653
6675,653
6685,653
6695,653
6706,653
6716,653
6726,653
6736,653
6748,653
6758,653
6768,653
6778,653
6789,653
6799,653
6810,653
6820,653
6831,653
6841,653
6851,652
6861,652
6872,653
6883,653
6893,653
6903,653
6914,652
6924,652
6934,652
6945,652
6956,652
6966,651
6976,651
6986,651
6996,652
7008,652
7018,651
7028,651
7038,651
7049,651
7059,650
7069,650
7080,650
7091,650
7101,650
7111,650
7121,650
7132,650
7143,650
7153,649
7163,649
7174,649
7184,649
7194,649
7204,650
7216,650
7226,650
7236,649
7246,649
7257,649
7267,649
7278,649
7288,649
7299,649
7309,649
7319,650
7329,650
7341,650
7351,650
7361,649
7371,649
7382,649
7392,649
7402,650
7413,650
7424,650
7434,650
7444,650
7454,650
7464,650
7476,650
7486,650
7496,651
7506,651
7517,651
7527,651
7537,652
7548,652
7559,652
7569,652
7579,652
7589,652
7600,652
7611,652
7621,652
7631,653
7642,653
7652,653
7662,653
7673,653
7684,653
7694,653
7704,653
7714,653
7725,653
7735,653
7746,653
7756,654
7767,653
7777,653
7787,653
7797,653
7809,653
7819,653
7829,653
7839,653
7849,653
7860,653
7870,653
7881,653
