Relative_Time_[ms],Voltage_out_[AU]
1,677
2,677
4,677
5,677
6,677
8,678
9,678
10,678
11,678
13,677
16,678
24,678
32,677
40,678
50,677
58,678
66,677
74,678
82,678
91,678
99,677
107,678
117,678
126,677
136,678
145,677
154,678
163,678
173,678
183,677
192,677
201,678
210,678
220,677
229,678
238,678
248,677
258,677
267,677
276,678
285,677
294,678
304,677
314,677
323,677
332,677
342,678
351,677
360,677
369,677
379,678
389,678
398,677
407,678
416,677
425,677
435,678
445,678
454,678
463,678
473,678
482,678
491,678
500,677
510,678
520,677
529,678
538,678
547,677
557,677
566,677
576,677
585,677
594,678
604,677
613,677
622,677
631,677
641,678
651,678
660,678
669,677
678,677
688,678
697,677
706,678
716,677
726,678
735,677
744,678
753,678
762,678
772,678
782,677
791,678
800,678
809,678
819,678
828,678
837,678
847,678
857,678
866,677
875,678
884,677
893,677
903,677
913,677
922,678
931,677
941,678
950,677
959,678
968,678
978,678
988,677
997,677
1006,677
1016,677
1027,677
1037,677
1048,677
1058,678
1069,678
1079,678
1089,678
1099,677
1111,678
1121,677
1131,677
1141,677
1152,677
1162,677
1172,678
1183,678
1193,677
1204,677
1214,678
1224,678
1234,678
1246,677
1256,678
1266,677
1276,678
1287,678
1297,677
1308,678
1318,677
1329,678
1339,678
1349,678
1359,678
1370,678
1381,677
1391,678
1401,677
1412,677
1422,677
1432,677
1443,678
1454,677
1464,677
1474,678
1484,678
1495,678
1505,677
1516,678
1526,678
1537,677
1547,677
1557,678
1567,678
1579,678
1589,678
1599,678
1609,678
1619,678
1630,678
1641,677
1651,678
1661,677
1672,678
1682,677
1692,678
1702,678
1714,678
1724,678
1734,677
1744,677
1755,678
1765,678
1776,678
1786,678
1797,677
1807,678
1817,677
1827,678
1838,678
1849,677
1859,678
1869,678
1880,678
1890,678
1900,678
1911,678
1922,678
1932,678
1942,678
1952,678
1963,678
1974,677
1984,677
1994,677
2004,677
2015,678
2025,678
2035,678
2046,677
2057,678
2067,677
2077,678
2087,678
2098,678
2109,678
2119,678
2129,677
2140,678
2150,678
2160,678
2170,678
2182,677
2192,678
2202,677
2212,677
2223,678
2233,677
2244,677
2254,678
2265,677
2275,677
2285,678
2295,677
2307,677
2317,678
2327,678
2337,677
2348,678
2358,677
2368,678
2379,677
2390,678
2400,678
2410,677
2420,678
2430,677
2442,678
2452,678
2462,678
2472,677
2483,678
2493,677
2503,678
2514,677
2525,678
2535,678
2545,677
2555,678
2566,678
2577,678
2587,678
2597,678
2608,678
2618,678
2628,677
2639,677
2650,678
2660,677
2670,678
2680,678
2691,677
2701,678
2712,677
2722,678
2733,677
2743,678
2753,678
2763,677
2775,677
2785,678
2795,677
2805,677
2816,677
2826,677
2836,678
2847,677
2857,678
2868,677
2878,677
2888,677
2898,677
2910,677
2920,677
2930,678
2940,678
2951,678
2961,678
2972,678
2982,677
2993,678
3003,678
3013,677
3023,677
3034,678
3045,677
3055,678
3065,677
3076,677
3086,678
3096,678
3107,677
3118,677
3128,678
3138,678
3148,678
3159,678
3169,678
3180,677
3190,678
3201,677
3211,678
3221,677
3231,677
3243,677
3253,677
3263,678
3273,678
3283,678
3294,678
3305,677
3315,677
3325,677
3336,678
3346,678
3356,677
3366,678
3378,678
3388,678
3398,678
3408,678
3419,678
3429,678
3440,677
3450,677
3461,677
3471,678
3481,678
3491,678
3502,678
3513,677
3523,677
3533,678
3544,678
3554,677
3564,677
3575,677
3586,677
3596,678
3606,678
3616,678
3627,677
3638,677
3648,678
3658,678
3668,678
3679,677
3689,678
3699,677
3710,677
3721,678
3731,677
3741,677
3751,677
3762,678
3773,677
3783,678
3793,678
3804,678
3814,678
3824,678
3834,677
3846,677
3856,677
3866,678
3876,677
3887,677
3897,677
3908,677
3918,678
3929,677
3939,677
3949,677
3959,678
3971,678
3981,677
3991,677
4001,678
4012,677
4022,677
4032,678
4043,678
4054,677
4064,677
4074,677
4084,678
4094,677
4106,677
4116,678
4126,677
4136,677
4147,677
4157,677
4167,678
4178,677
4189,678
4199,678
4209,677
4219,678
4230,677
4241,677
4251,677
4261,678
4272,677
4282,677
4292,677
4303,678
4314,677
4324,677
4334,677
4344,677
4355,677
4365,677
4376,677
4386,677
4397,678
4407,678
4417,678
4427,677
4439,678
4449,678
4459,678
4469,677
4480,677
4490,678
4500,678
4511,677
4521,677
4532,678
4542,677
4552,678
4562,678
4574,677
4584,677
4594,677
4604,678
4615,677
4625,678
4636,677
4646,677
4657,678
4667,677
4677,678
4687,678
4698,677
4709,677
4719,677
4729,678
4740,677
4750,678
4760,677
4771,678
4782,677
4792,677
4802,677
4812,678
4823,677
4833,678
4844,677
4854,677
4865,677
4875,677
4885,678
4895,678
4907,677
4917,677
4927,678
4937,677
4947,677
4958,677
4969,677
4979,677
4989,677
5000,677
5010,677
5020,677
5030,677
5042,676
5052,621
5062,698
5072,678
5083,677
5093,677
5104,677
5114,677
5125,677
5135,677
5145,677
5155,677
5166,678
5177,677
5187,677
5197,678
5208,677
5218,678
5228,678
5239,678
5250,678
5260,677
5270,678
5280,678
5291,677
5302,678
5312,678
5322,678
