Relative_Time_[ms],Magnetic_field_[mT]
5,537
10,538
15,538
21,537
26,537
31,538
36,538
43,538
48,537
53,538
58,538
64,538
69,538
74,538
79,537
86,538
91,538
96,538
101,537
107,537
112,538
121,538
131,538
140,538
149,538
158,537
167,538
177,537
187,538
196,538
205,538
215,538
224,537
233,538
242,538
251,538
262,537
271,538
280,538
289,537
299,538
308,538
317,538
327,538
336,537
346,537
355,537
364,538
373,538
382,538
393,538
402,538
411,538
420,538
430,537
439,537
448,538
458,538
467,537
477,538
486,538
495,538
504,537
514,538
524,537
533,538
542,538
551,537
561,538
570,538
579,538
589,538
599,538
608,537
617,538
626,537
635,538
645,538
655,538
664,537
673,538
683,538
692,538
701,538
710,538
720,538
730,538
739,538
748,538
757,537
766,538
776,537
786,537
795,538
804,537
814,538
823,538
832,538
841,538
850,537
861,538
870,538
879,537
888,538
898,538
907,538
916,538
926,538
935,537
945,538
954,537
963,538
972,538
982,538
992,537
1001,538
1011,538
1021,538
1032,538
1042,538
1053,537
1063,538
1074,538
1084,538
1094,537
1104,538
1115,538
1126,538
1136,538
1146,538
1157,538
1167,538
1177,538
1188,538
1199,538
1209,538
1219,538
1229,538
1240,538
1250,538
1261,538
1271,537
1282,538
1292,538
1302,538
1312,538
1324,537
1334,537
1344,538
1354,538
1364,538
1375,538
1386,538
1396,538
1406,538
1417,538
1427,537
1437,538
1447,538
1459,539
1469,538
1479,538
1489,539
1500,538
1510,538
1521,538
1531,539
1542,539
1552,538
1562,539
1572,539
1583,540
1594,539
1604,538
1614,539
1625,540
1635,540
1645,541
1656,541
1667,541
1677,541
1687,542
1697,542
1708,542
1719,543
1729,543
1739,544
1750,544
1760,545
1770,546
1780,546
1792,547
1802,548
1812,549
1822,550
1832,552
1843,553
1854,555
1864,557
1874,559
1885,563
1895,566
1905,570
1915,574
1927,577
1937,581
1947,585
1957,587
1968,590
1978,593
1989,595
1999,597
2010,599
2020,602
2030,604
2040,606
2052,608
2062,611
2072,615
2082,618
2093,621
2103,624
2113,628
2124,632
2135,636
2145,640
2155,644
2165,648
2176,651
2187,656
2197,660
2207,665
2217,670
2228,677
2238,684
2248,692
2259,701
2270,711
2280,720
2290,732
2300,744
2311,757
2322,769
2332,782
2342,795
2353,809
2363,823
2373,837
2384,852
2395,861
2405,866
2415,868
2425,869
2436,870
2446,870
2457,871
2467,871
2478,871
2488,872
2498,872
2508,872
2520,872
2530,872
2540,873
2550,873
2561,874
2571,874
2581,875
2592,876
2603,876
2613,876
2623,876
2633,877
2643,877
2655,877
2665,877
2675,877
2685,878
2696,878
2706,879
2717,878
2727,879
2738,880
2748,879
2758,880
2768,880
2779,880
2790,881
2800,881
2810,880
2821,881
2831,881
2841,881
2852,881
2863,881
2873,881
2883,881
2893,881
2904,881
2914,881
2925,881
2935,881
2946,882
2956,882
2966,881
2976,881
2988,882
2998,882
3008,881
3018,882
3028,882
3039,882
3050,882
3060,881
3070,881
3081,882
3091,882
3101,882
3111,881
3123,882
3133,882
3143,881
3153,882
3164,882
3174,882
3185,882
3195,883
3206,881
3216,882
3226,882
3236,882
3247,882
3258,882
3268,882
3278,882
3289,883
3299,882
3309,882
3320,882
3331,882
3341,882
3351,882
3361,882
3372,882
3383,882
3393,882
3403,881
3414,882
3424,881
3434,882
3444,882
3456,882
3466,882
3476,881
3486,882
3496,882
3507,881
3518,882
3528,882
3538,881
3549,882
3559,882
3569,882
3579,882
3591,881
3601,881
3611,882
3621,882
3632,882
3642,882
3653,882
3663,882
3674,882
3684,881
3694,882
3704,882
3716,882
3726,882
3736,881
3746,882
3757,882
3767,882
3777,882
3788,882
3799,882
3809,882
3819,881
3829,881
3840,882
3851,882
3861,881
3871,882
3881,882
3892,882
3902,882
3912,882
3923,882
3934,882
3944,882
3954,881
3964,882
3975,882
3986,882
3996,882
4006,882
4017,882
4027,882
4037,882
4048,882
4059,882
4069,882
4079,882
4089,881
4100,882
4110,882
4121,882
4131,882
4142,881
4152,881
4162,881
4172,880
4184,881
4194,880
4204,881
4214,880
4225,879
4235,879
4245,878
4256,878
4267,878
4277,877
4287,875
4297,874
4307,873
4319,870
4329,863
4339,845
4349,818
4360,792
4370,767
4381,744
4391,722
4402,702
4412,683
4422,665
4432,649
4443,634
4454,620
4464,608
4474,597
4485,588
4495,579
4505,573
4516,568
4527,563
4537,559
4547,555
4557,552
4568,550
4578,548
4589,546
4599,545
4610,544
4620,543
4630,542
4640,542
4652,541
4662,540
4672,540
4682,540
4692,539
4703,539
4714,539
4724,538
4734,539
4745,539
4755,538
4765,539
4775,539
4787,539
4797,538
4807,538
4817,538
4828,538
4838,539
4849,538
4859,538
4870,538
4880,538
4890,538
4900,538
4911,539
4922,538
4932,538
4942,538
4953,538
4963,538
4973,538
4984,538
4995,538
5005,538
5015,538
5025,538
5036,538
5047,537
5057,538
5067,537
5078,538
5088,537
5098,538
5108,538
5120,538
5130,537
5140,538
5150,538
5160,537
5171,538
5182,538
5192,538
5202,538
5213,537
5223,537
5233,537
5243,538
5255,537
5265,537
5275,538
5285,538
5296,538
5306,538
5317,538
5327,537
5338,538
5348,538
5358,537
5368,537
5380,538
5390,537
5400,537
