Relative_Time_[ms],Magnetic_field_[mT]
0,538
5,538
10,537
15,538
21,537
26,538
31,537
36,538
43,538
48,538
53,538
58,538
64,538
69,538
74,538
79,538
86,537
91,538
96,538
101,538
107,538
112,538
121,537
131,538
140,538
149,538
158,538
167,538
177,538
187,537
196,538
205,538
215,538
224,538
233,538
242,538
251,538
262,538
271,538
280,537
289,538
299,538
308,538
317,537
327,538
336,538
346,538
355,538
364,538
373,538
382,538
393,538
402,538
411,538
420,538
430,538
439,538
448,538
458,538
467,537
477,538
486,538
495,538
504,538
514,538
524,538
533,538
542,537
551,538
561,537
570,538
579,538
589,538
599,538
608,538
617,538
626,538
635,538
645,538
655,538
664,538
673,538
683,538
692,538
701,538
710,538
720,538
730,538
739,538
748,538
757,538
766,538
776,538
786,538
795,538
804,537
814,538
823,538
832,538
841,538
850,538
861,538
870,538
879,538
888,538
898,538
907,537
916,538
926,538
935,538
945,538
954,538
963,538
972,538
982,538
992,538
1001,538
1011,538
1021,538
1032,538
1042,538
1053,538
1063,538
1074,537
1084,538
1094,538
1104,537
1115,538
1126,538
1136,538
1146,538
1157,538
1167,538
1177,538
1188,538
1199,538
1209,538
1219,538
1229,538
1240,538
1250,538
1261,538
1271,538
1282,538
1292,538
1302,538
1312,538
1324,538
1334,538
1344,538
1354,538
1364,537
1375,538
1386,538
1396,538
1406,538
1417,538
1427,538
1437,538
1447,538
1459,538
1469,538
1479,538
1489,538
1500,538
1510,538
1521,538
1531,537
1542,538
1552,538
1562,538
1572,538
1583,538
1594,538
1604,538
1614,538
1625,538
1635,538
1645,538
1656,538
1667,538
1677,538
1687,538
1697,538
1708,538
1719,538
1729,539
1739,538
1750,538
1760,539
1770,538
1780,538
1792,539
1802,539
1812,538
1822,539
1832,539
1843,539
1854,539
1864,539
1874,540
1885,540
1895,540
1905,540
1915,541
1927,542
1937,542
1947,542
1957,542
1968,544
1978,545
1989,546
1999,547
2010,548
2020,551
2030,553
2040,555
2052,557
2062,561
2072,564
2082,568
2093,573
2103,578
2113,584
2124,591
2135,598
2145,604
2155,611
2165,618
2176,625
2187,634
2197,642
2207,651
2217,660
2228,670
2238,679
2248,687
2259,695
2270,704
2280,711
2290,718
2300,725
2311,732
2322,737
2332,742
2342,746
2353,751
2363,755
2373,760
2384,766
2395,773
2405,782
2415,793
2425,804
2436,817
2446,831
2457,846
2467,859
2478,865
2488,868
2498,870
2508,871
2520,872
2530,873
2540,874
2550,875
2561,876
2571,877
2581,877
2592,878
2603,878
2613,878
2623,879
2633,880
2643,879
2655,879
2665,879
2675,880
2685,880
2696,880
2706,880
2717,880
2727,880
2738,881
2748,881
2758,880
2768,881
2779,880
2790,880
2800,880
2810,880
2821,881
2831,881
2841,880
2852,880
2863,880
2873,881
2883,880
2893,881
2904,880
2914,880
2925,881
2935,880
2946,880
2956,880
2966,880
2976,880
2988,879
2998,877
3008,874
3018,861
3028,782
3039,717
3050,670
3060,635
3070,610
3081,592
3091,578
3101,569
3111,562
3123,557
3133,553
3143,551
3153,547
3164,545
3174,544
3185,542
3195,541
3206,540
3216,540
3226,539
3236,539
3247,539
3258,538
3268,538
3278,538
3289,538
3299,538
3309,538
3320,538
3331,538
3341,538
3351,537
3361,538
3372,538
3383,538
3393,538
3403,537
3414,538
3424,537
3434,538
3444,538
3456,538
3466,538
3476,537
3486,537
3496,538
3507,537
3518,537
3528,537
3538,538
3549,538
3559,538
3569,537
3579,537
3591,538
3601,538
3611,538
3621,537
3632,538
3642,537
3653,537
3663,537
3674,538
3684,537
3694,537
3704,538
3716,537
3726,537
3736,537
3746,537
3757,537
3767,537
3777,538
3788,537
3799,537
3809,537
3819,537
3829,537
3840,537
3851,538
3861,537
3871,538
3881,537
3892,537
3902,537
3912,537
3923,538
3934,537
3944,537
3954,538
3964,537
3975,537
3986,537
3996,538
4006,537
4017,537
4027,538
4037,537
4048,537
4059,537
4069,537
4079,537
4089,538
4100,537
4110,537
4121,537
4131,537
4142,537
4152,538
4162,537
4172,538
4184,537
4194,537
4204,537
4214,537
4225,537
4235,537
4245,537
4256,537
4267,538
4277,537
4287,537
4297,537
4307,537
4319,537
4329,537
4339,538
4349,537
4360,537
4370,537
4381,538
4391,538
4402,537
4412,538
4422,537
4432,537
4443,537
4454,537
4464,537
4474,537
4485,538
4495,538
4505,538
4516,537
4527,538
4537,537
4547,538
4557,538
4568,537
4578,537
4589,538
4599,537
4610,538
4620,537
4630,538
4640,537
4652,537
4662,537
4672,537
4682,537
4692,537
4703,537
4714,537
4724,537
4734,537
4745,536
4755,536
4765,536
4775,536
4787,536
4797,536
4807,535
4817,534
4828,533
4838,532
4849,532
4859,531
4870,529
4880,527
4890,525
4900,522
4911,519
4922,515
4932,511
4942,506
4953,502
4963,489
4973,486
4984,476
4995,466
5005,455
5015,442
5025,434
5036,433
5047,433
5057,432
5067,433
5078,432
5088,432
5098,433
5108,432
5120,432
5130,432
5140,432
5150,432
5160,433
5171,433
5182,433
5192,432
5202,432
5213,433
5223,432
5233,432
5243,433
5255,432
5265,433
5275,432
5285,432
5296,432
5306,432
5317,433
5327,432
5338,433
5348,432
5358,432
5368,432
5380,432
5390,432
5400,432
5410,432
5421,432
5431,432
5441,433
5452,431
5463,433
5473,432
5483,432
5493,432
5504,432
5515,433
5525,432
5535,432
5545,432
5556,433
5566,432
5576,432
5587,433
5598,433
5608,439
5618,455
5628,469
5639,482
5650,492
5660,502
5670,509
5681,516
5691,521
5701,525
5712,528
5723,531
5733,532
5743,534
5753,534
5764,536
5774,536
5785,536
5795,537
5806,537
5816,537
5826,537
5836,538
5848,537
5858,537
5868,538
5878,538
5889,537
5899,538
5909,538
5920,537
5931,538
5941,538
5951,537
5961,538
5971,538
5983,538
5993,538
6003,537
6013,538
6024,537
6034,538
6045,537
6055,537
6066,537
6076,538
6086,538
6096,537
6107,538
6118,538
6128,537
6138,538
6149,537
6159,538
6169,537
6180,537
6191,537
6201,537
6211,538
6221,538
6232,538
6242,538
6253,537
6263,538
6274,537
6284,537
6294,537
6304,538
6316,538
6326,537
6336,537
6346,538
6356,537
6367,538
6378,538
6388,538
6398,537
6409,538
6419,537
6429,537
6439,537
6451,538
6461,538
6471,537
6481,537
6492,537
6502,537
6513,537
6523,538
6534,537
6544,537
6554,538
6564,537
6575,537
6586,537
6596,537
6606,537
6617,537
6627,538
6637,537
6648,537
6659,538
6669,537
6679,537
6689,537
6700,538
6711,537
6721,537
6731,538
6742,538
6752,538
6762,537
6772,538
6784,537
6794,537
6804,537
6814,537
6824,538
6835,537
6846,538
6856,537
6866,537
6877,538
6887,538
6897,538
6907,538
6919,537
6929,538
6939,537
6949,538
6960,538
6970,537
6981,537
6991,537
7002,537
7012,537
7022,537
7032,537
7044,537
7054,538
7064,537
7074,538
7085,537
7095,537
7105,538
7116,537
7127,538
7137,537
7147,537
7157,538
7168,537
7179,537
7189,537
7199,537
7209,537
7220,537
7230,537
7240,537
7251,538
7262,537
7272,538
7282,538
7292,538
7303,538
7314,537
7324,538
7334,537
7345,537
7355,538
7365,538
7376,537
7387,537
7397,537
7407,538
7417,537
7428,537
7438,537
7449,537
7459,537
7470,537
7480,537
7490,538
7500,538
7512,537
7522,537
7532,537
7542,537
7553,538
7563,537
7573,538
7584,537
7595,537
7605,537
7615,537
7625,537
7635,537
7647,538
7657,538
7667,537
7677,537
7688,537
7698,538
7709,537
7719,537
7730,538
7740,537
7750,538
7760,537
7771,537
7782,537
7792,537
7802,538
7813,537
7823,537
7833,537
7844,537
7855,537
7865,537
7875,538
7885,537
7896,537
7906,537
7917,537
7927,538
7938,537
7948,538
7958,537
7968,537
7980,537
7990,538
