Relative_Time_[ms],Voltage_out_[AU]
1,681
2,681
4,681
5,682
6,682
8,682
9,682
10,682
11,682
13,681
16,682
24,682
32,681
40,682
50,681
58,682
66,682
74,682
82,682
91,682
99,682
107,682
117,682
126,682
136,682
145,682
154,682
163,682
173,682
183,682
192,682
201,682
210,682
220,682
229,681
238,682
248,682
258,682
267,682
276,681
285,682
294,682
304,682
314,682
323,682
332,682
342,682
351,682
360,682
369,682
379,682
389,682
398,682
407,682
416,682
425,681
435,682
445,682
454,682
463,682
473,682
482,682
491,682
500,682
510,682
520,682
529,682
538,682
547,682
557,682
566,682
576,682
585,682
594,682
604,682
613,682
622,682
631,682
641,682
651,682
660,682
669,682
678,682
688,682
697,682
706,682
716,682
726,682
735,682
744,682
753,682
762,682
772,682
782,682
791,682
800,682
809,682
819,682
828,682
837,682
847,682
857,682
866,682
875,682
884,682
893,682
903,682
913,682
922,682
931,682
941,682
950,682
959,682
968,682
978,682
988,682
997,682
1006,682
1016,682
1027,682
1037,682
1048,682
1058,682
1069,682
1079,682
1089,682
1099,682
1111,682
1121,682
1131,682
1141,682
1152,682
1162,682
1172,682
1183,682
1193,682
1204,682
1214,682
1224,682
1234,682
1246,682
1256,682
1266,682
1276,682
1287,682
1297,682
1308,682
1318,682
1329,682
1339,682
1349,682
1359,682
1370,682
1381,682
1391,682
1401,682
1412,682
1422,682
1432,682
1443,682
1454,682
1464,682
1474,682
1484,682
1495,682
1505,682
1516,682
1526,682
1537,682
1547,682
1557,682
1567,682
1579,682
1589,682
1599,682
1609,682
1619,682
1630,682
1641,682
1651,682
1661,682
1672,682
1682,682
1692,682
1702,682
1714,682
1724,682
1734,682
1744,682
1755,682
1765,682
1776,682
1786,682
1797,682
1807,682
1817,682
1827,682
1838,682
1849,682
1859,682
1869,682
1880,682
1890,682
1900,682
1911,682
1922,682
1932,682
1942,682
1952,682
1963,682
1974,682
1984,682
1994,682
2004,682
2015,682
2025,682
2035,682
2046,682
2057,682
2067,682
2077,682
2087,682
2098,682
2109,682
2119,682
2129,682
2140,682
2150,682
2160,682
2170,682
2182,682
2192,682
2202,682
2212,682
2223,682
2233,682
2244,682
2254,682
2265,682
2275,682
2285,682
2295,682
2307,682
2317,682
2327,682
2337,682
2348,682
2358,682
2368,682
2379,682
2390,682
2400,682
2410,682
2420,682
2430,683
2442,682
2452,682
2462,682
2472,682
2483,682
2493,682
2503,682
2514,682
2525,682
2535,682
2545,682
2555,682
2566,682
2577,682
2587,682
2597,682
2608,682
2618,682
2628,682
2639,682
2650,682
2660,682
2670,682
2680,682
2691,682
2701,682
2712,682
2722,682
2733,682
2743,682
2753,682
2763,682
2775,682
2785,682
2795,681
2805,682
2816,682
2826,682
2836,682
2847,682
2857,682
2868,681
2878,682
2888,682
2898,682
2910,682
2920,682
2930,682
2940,682
2951,682
2961,682
2972,682
2982,682
2993,682
3003,682
3013,682
3023,682
3034,682
3045,682
3055,681
3065,682
3076,682
3086,682
3096,682
3107,682
3118,682
3128,682
3138,682
3148,682
3159,682
3169,681
3180,682
3190,682
3201,682
3211,682
3221,682
3231,682
3243,681
3253,682
3263,682
3273,682
3283,682
3294,682
3305,682
3315,682
3325,682
3336,682
3346,682
3356,682
3366,682
3378,682
3388,682
3398,682
3408,682
3419,682
3429,681
3440,682
3450,682
3461,682
3471,682
3481,681
3491,682
3502,682
3513,682
3523,682
3533,682
3544,682
3554,682
3564,682
3575,681
3586,681
3596,682
3606,682
3616,682
3627,681
3638,682
3648,682
3658,681
3668,682
3679,682
3689,682
3699,682
3710,682
3721,682
3731,681
3741,682
3751,682
3762,681
3773,681
3783,682
3793,682
3804,681
3814,682
3824,681
3834,681
3846,681
3856,682
3866,682
3876,682
3887,682
3897,681
3908,682
3918,682
3929,682
3939,682
3949,681
3959,681
3971,682
3981,681
3991,682
4001,681
4012,682
4022,682
4032,682
4043,681
4054,682
4064,682
4074,682
4084,682
4094,682
4106,681
4116,681
4126,681
4136,682
4147,682
4157,682
4167,682
4178,682
4189,682
4199,682
4209,681
4219,682
4230,681
4241,681
4251,682
4261,682
4272,682
4282,681
4292,682
4303,681
4314,681
4324,682
4334,682
4344,682
4355,682
4365,682
4376,682
4386,681
4397,682
4407,682
4417,682
4427,681
4439,682
4449,681
4459,682
4469,682
4480,682
4490,681
4500,682
4511,682
4521,682
4532,682
4542,682
4552,681
4562,682
4574,682
4584,682
4594,681
4604,681
4615,681
4625,682
4636,681
4646,681
4657,681
4667,682
4677,681
4687,681
4698,681
4709,681
4719,681
4729,681
4740,682
4750,682
4760,681
4771,681
4782,681
4792,682
4802,681
4812,682
4823,682
4833,682
4844,682
4854,681
4865,682
4875,681
4885,681
4895,682
4907,682
4917,681
4927,682
4937,682
4947,681
4958,682
4969,681
4979,681
4989,682
5000,682
5010,682
5020,682
5030,682
5042,682
5052,682
5062,682
5072,681
5083,681
5093,682
5104,682
5114,682
5125,682
5135,681
5145,681
5155,681
5166,682
5177,682
5187,681
5197,682
5208,681
5218,681
5228,682
5239,682
5250,681
5260,682
5270,682
5280,682
5291,681
5302,681
5312,682
5322,682
5332,682
5343,681
5353,682
5363,682
5374,681
5385,681
5395,682
5405,681
5415,682
5426,682
5437,682
5447,681
5457,681
5468,682
5478,682
5488,681
5498,681
5510,682
5520,681
5530,681
5540,681
5551,681
5561,682
5572,681
5582,681
5593,682
5603,682
5613,681
5623,681
5635,682
5645,682
5655,681
5665,681
5676,682
5686,681
5696,681
5707,681
5718,682
5728,682
5738,682
5748,681
5758,681
5770,681
5780,682
5790,681
5800,681
5811,681
5821,682
5831,681
5842,681
5853,681
5863,681
5873,681
5883,682
5894,682
5905,681
5915,682
5925,681
5936,682
5946,681
5956,682
5967,681
5978,682
5988,681
5998,681
6008,682
6019,681
6029,681
6040,682
6050,681
6061,681
6071,682
6081,681
6091,681
6103,681
6113,681
6123,681
6133,682
6144,681
6154,681
6164,681
6175,682
6185,681
6196,681
6206,681
6216,681
6226,682
6238,682
6248,682
6258,682
6268,681
6279,681
6289,681
6300,681
6310,681
6321,682
6331,681
6341,682
6351,681
6362,681
6373,681
6383,682
6393,682
6404,681
6414,681
6424,682
6435,681
6446,682
6456,681
6466,681
6476,681
6487,681
6497,681
6508,681
6518,681
6529,681
6539,681
6549,681
6559,682
6571,681
6581,681
6591,681
6601,682
6611,681
6622,682
6633,681
6643,681
6653,681
6664,681
6674,681
6684,681
6694,682
6706,681
6716,682
6726,681
6736,682
6747,682
6757,681
6768,682
6778,681
6789,681
6799,681
6809,681
6819,681
6830,682
6841,682
6851,681
6861,681
6872,682
6882,682
6892,681
6903,681
6914,681
6924,681
6934,681
6944,682
6955,681
6966,681
6976,681
6986,681
6996,681
7007,682
7017,682
7027,681
7038,681
7049,681
7059,681
7069,682
7079,682
7090,681
7101,682
7111,681
7121,682
7132,681
7142,681
7152,681
7162,681
7174,681
7184,681
7194,681
7204,681
7215,681
7225,681
7236,681
7246,681
7257,682
7267,682
7277,682
7287,681
7299,681
7309,681
7319,681
7329,682
7340,681
7350,682
7360,682
7371,681
7382,681
7392,681
7402,681
7412,682
7422,682
7434,682
7444,681
7454,682
7464,682
7475,682
7485,682
7495,681
7506,682
7517,681
7527,681
7537,682
7547,682
7558,682
7569,681
7579,682
7589,682
7600,682
7610,681
7620,681
7631,681
7642,681
7652,682
7662,682
7672,681
7683,681
7693,682
7704,681
7714,682
7725,681
7735,681
7745,681
7755,681
7767,681
7777,681
7787,681
7797,681
7808,681
7818,682
7828,681
7839,681
7849,681
7860,681
7870,682
